TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM,C1_NM_ENG
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,1595614.0228,A,00,전국,Whole country
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,352.581,A,11,서울,Seoul
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,5578.2326,A,21,부산,Busan
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,1503.8481,A,21310,기장군,Gijang-gun
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,4074.3845,A,21999,기장군외,Others Gijang-gun
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,7661.206,A,22,대구,Daegu
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,5331.532,A,22310,달성군,Dalseong-gun
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,2329.674,A,22999,달성군외,Others Dalseong-gun
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,18376.7025,A,23,인천,Incheon
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,13947.7547,A,23310,강화군,Ganghwa-gun
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,4428.9478,A,23999,강화군외,Others Ganghwa-gun
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,9327.7029,A,24,광주,Gwangju
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,5306.2921,A,24050,광산구,Gwangsan-gu
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,4021.4108,A,24999,광산구외,Others Gwangsan-gu
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,3793.79,A,25,대전,Daejeon
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,10063.5392,A,26,울산,Ulsan
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,8383.1724,A,26310,울주군,Ulju-gun
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,1680.3668,A,26999,울주군외,Others Ulju-gun
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,7703.9234,A,29,세종,Sejong
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,162587.4583,A,31,경기,Gyeonggi
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,1034.8531,A,31010,수원시,Suwon-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,410.9422,A,31020,성남시,Seongnam-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,278.8438,A,31030,의정부시,Uijeongbu-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,62.8917,A,31040,안양시,Anyang-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,534.6451,A,31050,부천시,Bucheon-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,442.5568,A,31060,광명시,Gwangmyeong-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,18178.938,A,31070,평택시,Pyeongtaek-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,381.764,A,31080,동두천시,Dongducheon-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,1957.3452,A,31090,안산시,Ansan-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,3647.1412,A,31100,고양시,Goyang-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,215.1942,A,31110,과천시,Gwacheon-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,300.3827,A,31120,구리시,Guri-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,2677.2837,A,31130,남양주시,Namyangju-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,430.9525,A,31140,오산시,Osan-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,2469.83,A,31150,시흥시,Siheung-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,186.3583,A,31160,군포시,Gunpo-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,451.4501,A,31170,의왕시,Uiwang-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,276.689,A,31180,하남시,Hanam-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,7069.5958,A,31190,용인시,Yongin-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,10587.9161,A,31200,파주시,Paju-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,16532.4758,A,31210,이천시,Icheon-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,14916.6323,A,31220,안성시,Anseong-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,7223.32,A,31230,김포시,Gimpo-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,21252.5756,A,31240,화성시,Hwaseong-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,2789.1801,A,31250,광주시,Gwangju-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,3880.3954,A,31260,양주시,Yangju-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,9664.7055,A,31270,포천시,Pocheon-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,15225.1108,A,31280,여주시,Yeoju-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,8417.3891,A,31350,연천군,Yeoncheon-gun
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,3127.285,A,31370,가평군,Gapyeong-gun
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,7962.8152,A,31380,양평군,Yangpyeong-gun
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,101563.5755,A,32,강원,Gangwon
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,6408.0405,A,32010,춘천시,Chuncheon-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,7912.1322,A,32020,원주시,Wonju-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,7206.6936,A,32030,강릉시,Gangneung-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,901.4757,A,32040,동해시,Donghae-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,904.3626,A,32050,태백시,Taebaek-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,559.9016,A,32060,속초시,Sokcho-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,4134.8722,A,32070,삼척시,Samcheok-si
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,11272.0984,A,32310,홍천군,Hongcheon-gun
시군별 논밭별 경지면적,2018,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,8928.5522,A,32320,횡성군,Hoengseong-gun
