TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM,C1_NM_ENG
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,3263,A,31130,남양주시,Namyangju-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,572,A,31140,오산시,Osan-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,2621,A,31150,시흥시,Siheung-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,214,A,31160,군포시,Gunpo-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,586,A,31170,의왕시,Uiwang-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,435,A,31180,하남시,Hanam-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,7655,A,31190,용인시,Yongin-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,11445,A,31200,파주시,Paju-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,17349,A,31210,이천시,Icheon-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,15720,A,31220,안성시,Anseong-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,7695,A,31230,김포시,Gimpo-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,22547,A,31240,화성시,Hwaseong-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,3211,A,31250,광주시,Gwangju-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,4333,A,31260,양주시,Yangju-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,10453,A,31270,포천시,Pocheon-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,15745,A,31280,여주시,Yeoju-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,9012,A,31350,연천군,Yeoncheon-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,3706,A,31370,가평군,Gapyeong-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,9024,A,31380,양평군,Yangpyeong-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,108727,A,32,강원,Gangwon
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,6943,A,32010,춘천시,Chuncheon-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,8850,A,32020,원주시,Wonju-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,8074,A,32030,강릉시,Gangneung-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,976,A,32040,동해시,Donghae-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,963,A,32050,태백시,Taebaek-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,606,A,32060,속초시,Sokcho-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,4551,A,32070,삼척시,Samcheok-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,11829,A,32310,홍천군,Hongcheon-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,9589,A,32320,횡성군,Hoengseong-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,6794,A,32330,영월군,Yeongwol-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,9587,A,32340,평창군,Pyeongchang-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,7305,A,32350,정선군,Jeongseon-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,13250,A,32360,철원군,Cheorwon-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,3299,A,32370,화천군,Hwacheon-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,4721,A,32380,양구군,Yanggu-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,4036,A,32390,인제군,Inje-gun
