지역,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
평창군,9873,9642.0,9587.0,9566.2062333078,9476.0,9451.5367,9390.0993,9236.3883,9156.3083,10028.9732
정선군,7515,7520.0,7305.0,7284.4627722575,7035.0,6998.9988,6972.5701,6990.9668,6854.723,7747.3372
철원군,13606,13229.0,13250.0,13076.0122337266,12836.0,12679.5789,12643.7982,12645.1955,12551.4962,12222.5549
화천군,3275,3274.0,3299.0,3288.0607632128,3168.0,3136.0477,3117.8247,3101.4422,3011.3216,2805.2213
양구군,4975,4976.0,4721.0,4702.333537867,4605.0,4596.0699,4475.2231,4463.6078,4388.3864,4657.9824
인제군,4323,4292.0,4036.0,4031.22690111,3858.0,3828.4755,3697.7932,3644.1753,3588.4781,3609.7884
고성군,4070,4052.0,4058.0,3979.4395900621,3975.0,3984.5163,3918.131,3906.6974,3880.1554,4118.6611
양양군,3339,3281.0,3295.0,3270.938454675,3070.0,3035.0063,2967.1712,2910.0626,2887.0975,2937.1653
충청북도,117718,114530.0,112097.0,111568.055347939,109161.0,107096.8838,102869.7771,101899.8535,100880.1929,98041.0864
청주시,3820,3736.0,3519.0,18257.7575850055,17747.0,17457.9401,16933.5461,16755.7715,16614.3891,17096.7195
충주시,15210,15048.0,14869.0,14828.117382106,14557.0,14278.8498,13746.8643,13640.8005,13370.3931,13225.4823
제천시,10859,10699.0,10672.0,10661.7183604046,10408.0,10153.5884,9558.584,9511.3175,9342.402,8176.5671
청원군,17528,16479.0,14861.0,,,,,,,
보은군,9772,9398.0,8989.0,8975.7651231006,8775.0,8745.4421,8493.7075,8455.3768,8418.254,8818.6338
옥천군,8111,8076.0,8058.0,8050.762083689,7843.0,7623.4148,7369.3698,7303.2488,7240.3608,6658.9685
영동군,9676,9613.0,9620.0,9586.6137993421,9253.0,9179.3205,8709.826,8656.7969,8640.0431,8558.5644
진천군,8748,8435.0,8318.0,8210.9524713309,8162.0,7889.3488,7554.577,7424.9115,7320.796,7450.2166
괴산군,12500,11730.0,11728.0,11655.2607754603,11484.0,11276.928,10896.9052,10758.7512,10724.8977,10285.8459
음성군,13599,13480.0,13602.0,13466.9403897372,13240.0,12940.4325,12614.9812,12484.9614,12379.0978,11582.0357
단양군,5692,5653.0,5682.0,5740.7087591726,5598.0,5486.0324,4986.5,4929.1618,4858.0744,4390.2775
증평군,2203,2182.0,2178.0,2133.4586185904,2094.0,2065.5864,2004.916,1978.7556,1971.4849,1797.7751
충청남도,234626,224629.0,219215.0,218786.637542327,215100.0,213237.6674,211577.1676,210428.1714,208631.6157,217425.4603
천안시,14900,14866.0,13623.0,13779.023220175,13468.0,13270.7523,13083.0802,12980.9777,12815.9174,13048.975
공주시,14147,12423.0,10580.0,10573.305978138,10468.0,10337.705,10234.1386,10166.358,10118.7024,11588.2861
보령시,13263,12989.0,13167.0,13116.99988469,12931.0,12910.1855,12890.0482,12862.2979,12788.4381,12601.7834
아산시,16244,16213.0,15828.0,15730.7000222383,15412.0,15146.6506,14794.5553,14582.17,14504.202,15574.8552
서산시,27177,27285.0,27077.0,27032.1715493473,26562.0,26305.0541,26198.5504,26150.7659,25922.4753,27604.7962
논산시,19716,19612.0,19251.0,19275.2378103493,19044.0,18885.5486,18698.8303,18525.4385,18398.0464,18337.2957
계룡시,440,440.0,432.0,418.4724003093,398.0,387.6073,380.0764,380.0764,376.1968,362.588
당진시,26410,26120.0,25499.0,25422.2899674535,24632.0,24566.1974,24478.5246,24429.2392,24323.1123,27740.1431
금산군,7728,7679.0,7876.0,7875.3993648184,7776.0,7664.9331,7571.1435,7505.1854,7222.3026,6789.164
연기군,6445,0.0,,,,,,,,
부여군,16605,16204.0,16191.0,16047.3364170948,15931.0,15901.6483,15830.6486,15799.4155,15675.8784,16355.692
서천군,13590,13594.0,13571.0,13574.9350995549,13372.0,13270.4992,13203.4432,13185.8131,13069.1447,12575.9468
청양군,9069,8846.0,8630.0,8570.9117002515,8433.0,8350.2577,8257.1053,8189.7431,8150.3407,8473.911
홍성군,14347,14249.0,13707.0,13695.5178828739,13570.0,13422.7205,13337.2023,13289.1168,13241.4294,13557.8225
예산군,19305,19196.0,19204.0,19121.5183208409,18941.0,18720.8944,18565.0365,18377.2755,18247.4024,17632.8897
태안군,15239,14913.0,14579.0,14552.8179241915,14162.0,14097.0134,14054.7842,14004.2984,13778.0268,15181.3116
전라북도,206220,204592.0,204612.0,203559.397316166,200720.0,199196.2344,197540.8486,195191.2688,193790.7629,191600.9987
전주시,5277,5269.0,5311.0,5277.3303449637,5189.0,5125.5936,4983.1357,4911.6235,4869.2037,4907.7344
군산시,14565,14617.0,14631.0,14604.8949102807,14370.0,14211.0386,14150.3721,14016.7866,14002.0071,13858.7495
익산시,24619,24247.0,24310.0,24136.2258812126,23737.0,23500.0913,23279.0842,23035.2949,22808.4506,22724.7049
