TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C2_OBJ_NM,DT,PRD_SE,C2,C1,C1_NM,C1_NM_ENG,C2_NM,C2_NM_ENG
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,225286140,A,15315NJB000,15315HJG000,전국,Total,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,4981877,A,15315NJB000,15315HJG001,서울특별시,Seoul,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,76901,A,15315NJB000,15315HJG001001,종로구,Jongno-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,47885,A,15315NJB000,15315HJG001002,중구,Jung-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,84721,A,15315NJB000,15315HJG001003,용산구,Yongsan-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,35588,A,15315NJB000,15315HJG001004,성동구,Seong-dong,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,20865,A,15315NJB000,15315HJG001005,광진구,Gwangjin-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,72802,A,15315NJB000,15315HJG001006,동대문구,Dongdaemun-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,187309,A,15315NJB000,15315HJG001007,중랑구,Jungnang-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,73865,A,15315NJB000,15315HJG001008,성북구,Seongbuk-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,23904,A,15315NJB000,15315HJG001009,강북구,Gangbuk-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,29280,A,15315NJB000,15315HJG001010,도봉구,Dobong-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,313489,A,15315NJB000,15315HJG001011,노원구,Nowon-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,115644,A,15315NJB000,15315HJG001012,은평구,Eunpyeong-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,475841,A,15315NJB000,15315HJG001013,서대문구,Seodaemun-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,319655,A,15315NJB000,15315HJG001014,마포구,Mapo-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,242674,A,15315NJB000,15315HJG001015,양천구,Yangcheon-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,292926,A,15315NJB000,15315HJG001016,강서구,Gangseo-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,160627,A,15315NJB000,15315HJG001017,구로구,Guro-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,34851,A,15315NJB000,15315HJG001018,금천구,Geumcheon-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,60377,A,15315NJB000,15315HJG001019,영등포구,Yeongdeungpo-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,37589,A,15315NJB000,15315HJG001020,동작구,Dongjak-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,65653,A,15315NJB000,15315HJG001021,관악구,Gwanak-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,922978,A,15315NJB000,15315HJG001022,서초구,Seocho-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,797721,A,15315NJB000,15315HJG001023,강남구,Gangnam-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,331532,A,15315NJB000,15315HJG001024,송파구,Songpa-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,157200,A,15315NJB000,15315HJG001025,강동구,Gang-dong,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,11517117,A,15315NJB000,15315HJG002,부산광역시,Busan,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,437148,A,15315NJB000,15315HJG002009,해운대구,Haeundae-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,428736,A,15315NJB000,15315HJG002010,사하구,Saha-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,409642,A,15315NJB000,15315HJG002011,금정구,Geumjeong-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,30660,A,15315NJB000,15315HJG002012,강서구,Gangseo-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,28059,A,15315NJB000,15315HJG002016,기장군,Gijang-gun,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,10182872,A,15315NJB000,15315HJG002A1,부산광역시,Busan,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,7931700,A,15315NJB000,15315HJG003,대구광역시,Daegu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,9418,A,15315NJB000,15315HJG003003,중구,Jung-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,1185408,A,15315NJB000,15315HJG003004,동구,Dong-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,430707,A,15315NJB000,15315HJG003005,서구,Seo-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,1069398,A,15315NJB000,15315HJG003007,북구,Buk-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,269008,A,15315NJB000,15315HJG003008,수성구,Suseong-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,813901,A,15315NJB000,15315HJG003009,달서구,Dalseo-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,4153860,A,15315NJB000,15315HJG003010,달성군,Dalseong-gun,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,10600844,A,15315NJB000,15315HJG004,인천광역시,Incheon,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,733309,A,15315NJB000,15315HJG004001,중구,Jung-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,555139,A,15315NJB000,15315HJG004003,남구,NAm-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,331502,A,15315NJB000,15315HJG004004,연수구,Yeonsu-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,723362,A,15315NJB000,15315HJG004005,남동구,Nam-dong,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,193749,A,15315NJB000,15315HJG004006,부평구,Bupyeong-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,134986,A,15315NJB000,15315HJG004007,계양구,Gyeyang-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,1395181,A,15315NJB000,15315HJG004008,서구,Seo-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,335830,A,15315NJB000,15315HJG004009,강화군,Ganghwa-gun,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,6197786,A,15315NJB000,15315HJG004011,인천광역시,Incheon,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,3969891,A,15315NJB000,15315HJG005,광주광역시,Gwangju,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,278045,A,15315NJB000,15315HJG005002,서구,Seo-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,140390,A,15315NJB000,15315HJG005003,남구,Nam-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,694090,A,15315NJB000,15315HJG005004,북구,Buk-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,2792365,A,15315NJB000,15315HJG005005,광산구,Gwangsan-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,65001,A,15315NJB000,15315HJG0050061,동구,Dong-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,2944213,A,15315NJB000,15315HJG006,대전광역시,Daejeon,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,453779,A,15315NJB000,15315HJG006001,동구,Dong-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,227737,A,15315NJB000,15315HJG006002,중구,Jung-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,413980,A,15315NJB000,15315HJG006003,서구,Seo-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,952788,A,15315NJB000,15315HJG006004,유성구,Yuseong-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,895929,A,15315NJB000,15315HJG006005,대덕구,Daedeok-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,10065505,A,15315NJB000,15315HJG007,울산광역시,Ulsan,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,152021,A,15315NJB000,15315HJG007002,남구,Nam-gu,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,9913484,A,15315NJB000,15315HJG007006,울산광역시,Ulsan,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,66334239,A,15315NJB000,15315HJG008,경기도,Gyeonggi-do,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,1887728,A,15315NJB000,15315HJG008001,수원시,Suwon-si,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,1978537,A,15315NJB000,15315HJG008002,성남시,Seongnam-si,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,753263,A,15315NJB000,15315HJG008003,의정부시,Uijeongbu-si,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,486438,A,15315NJB000,15315HJG008004,안양시,Anyang-si,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,778877,A,15315NJB000,15315HJG008005,부천시,Bucheon-si,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,402138,A,15315NJB000,15315HJG008006,광명시,Gwangmyeong-si,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,1629765,A,15315NJB000,15315HJG008007,평택시,Pyeongtaek-si,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,246576,A,15315NJB000,15315HJG008008,동두천시,Dongducheon-si,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,2389940,A,15315NJB000,15315HJG008009,안산시,Ansan-si,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,2174792,A,15315NJB000,15315HJG008010,고양시,Goyang-si,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,174793,A,15315NJB000,15315HJG008011,과천시,Gwacheon-si,계,Total
녹지,2015,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,239833,A,15315NJB000,15315HJG008012,구리시,Guri-si,계,Total
