TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C2_OBJ_NM,DT,PRD_SE,C2,C1,C1_NM,C1_NM_ENG,C2_NM,C2_NM_ENG
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,224053325,A,15315NJB000,15315HJG000,전국,Total,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,5013617,A,15315NJB000,15315HJG001,서울특별시,Seoul,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,76901,A,15315NJB000,15315HJG001001,종로구,Jongno-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,47885,A,15315NJB000,15315HJG001002,중구,Jung-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,84721,A,15315NJB000,15315HJG001003,용산구,Yongsan-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,35588,A,15315NJB000,15315HJG001004,성동구,Seong-dong,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,20865,A,15315NJB000,15315HJG001005,광진구,Gwangjin-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,72802,A,15315NJB000,15315HJG001006,동대문구,Dongdaemun-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,187309,A,15315NJB000,15315HJG001007,중랑구,Jungnang-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,73865,A,15315NJB000,15315HJG001008,성북구,Seongbuk-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,23904,A,15315NJB000,15315HJG001009,강북구,Gangbuk-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,29280,A,15315NJB000,15315HJG001010,도봉구,Dobong-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,316464,A,15315NJB000,15315HJG001011,노원구,Nowon-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,105854,A,15315NJB000,15315HJG001012,은평구,Eunpyeong-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,475841,A,15315NJB000,15315HJG001013,서대문구,Seodaemun-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,319655,A,15315NJB000,15315HJG001014,마포구,Mapo-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,242674,A,15315NJB000,15315HJG001015,양천구,Yangcheon-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,292926,A,15315NJB000,15315HJG001016,강서구,Gangseo-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,160627,A,15315NJB000,15315HJG001017,구로구,Guro-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,34681,A,15315NJB000,15315HJG001018,금천구,Geumcheon-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,60380,A,15315NJB000,15315HJG001019,영등포구,Yeongdeungpo-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,37589,A,15315NJB000,15315HJG001020,동작구,Dongjak-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,65653,A,15315NJB000,15315HJG001021,관악구,Gwanak-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,922978,A,15315NJB000,15315HJG001022,서초구,Seocho-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,797721,A,15315NJB000,15315HJG001023,강남구,Gangnam-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,370254,A,15315NJB000,15315HJG001024,송파구,Songpa-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,157200,A,15315NJB000,15315HJG001025,강동구,Gang-dong,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,10336182,A,15315NJB000,15315HJG002,부산광역시,Busan,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,10336182,A,15315NJB000,15315HJG002A1,부산광역시,Busan,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,7260884,A,15315NJB000,15315HJG003,대구광역시,Daegu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,9418,A,15315NJB000,15315HJG003003,중구,Jung-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,1182958,A,15315NJB000,15315HJG003004,동구,Dong-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,430707,A,15315NJB000,15315HJG003005,서구,Seo-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,1102443,A,15315NJB000,15315HJG003007,북구,Buk-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,269008,A,15315NJB000,15315HJG003008,수성구,Suseong-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,816268,A,15315NJB000,15315HJG003009,달서구,Dalseo-gu,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,3450082,A,15315NJB000,15315HJG003010,달성군,Dalseong-gun,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,10784366,A,15315NJB000,15315HJG004,인천광역시,Incheon,계,Total
녹지,2016,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,18673,A,15315NJB000,15315HJG004001,중구,Jung-gu,계,Total
