지역,2012,2013,2014,2015,2016,2017,2018,2019,2020
시흥시,4694288,4790481.0,4790481.0,4790481.0,4757328.0,3601056.0,2516775.0,2514231.0,2514823.0
군포시,546971,566717.0,562734.0,562734.0,570850.0,571694.0,556702.0,556702.0,474025.0
의왕시,170238,173239.0,198947.0,319827.0,354417.0,381616.0,382992.0,384513.0,445140.0
하남시,664028,646695.0,653600.0,643444.0,645517.0,644275.0,647052.0,647052.0,647052.0
용인시,3655779,3686010.0,3686010.0,3686010.0,3726765.0,2637605.0,2493631.0,2493631.0,2490853.0
파주시,2550566,2561092.0,2570275.0,2581066.0,2593386.0,2586326.0,2732063.0,2732063.0,2647762.0
이천시,696964,1117780.0,1117780.0,1117780.0,1117780.0,1117780.0,541116.0,567109.0,542705.0
안성시,1268647,1410676.0,1409441.0,1446372.0,1425587.0,1549459.0,1540465.0,1556909.0,1431850.0
김포시,1404037,1450299.0,1438697.0,1458977.0,1458977.0,1458977.0,1418389.0,1514824.0,1530444.0
화성시,1979760,1979760.0,1979760.0,28597043.0,28628919.0,43352919.0,27467752.0,27474638.0,27474638.0
광주시,604551,649103.0,693693.0,960238.0,858232.0,873482.0,886932.0,886932.0,864460.0
양주시,1356762,1356762.0,1298181.0,1284150.0,1052582.0,1001340.0,977122.0,1005034.0,976658.0
포천시,222490,172523.0,230623.0,258572.0,281427.0,304443.0,313106.0,313106.0,300112.0
여주군,69563,,,,,,,,
연천군,477341,477341.0,477341.0,521352.0,522801.0,620837.0,621607.0,623066.0,239899.0
가평군,251791,255173.0,239514.0,180693.0,156327.0,156274.0,156538.0,156538.0,153170.0
양평군,19885,21206.0,28957.0,137273.0,137273.0,137273.0,137273.0,125605.0,129903.0
강원도,7413940,7565619.0,8050530.0,7865036.0,7936854.0,7888639.0,7574501.0,6669222.0,6081286.0
춘천시,495763,495763.0,681371.0,731361.0,755144.0,755144.0,755144.0,755144.0,641566.0
원주시,3526204,3505055.0,3562391.0,3591168.0,3546775.0,3563303.0,3560698.0,2589873.0,2572426.0
강릉시,772470,897674.0,897643.0,631663.0,631663.0,631663.0,628073.0,628073.0,585475.0
동해시,929359,956060.0,956036.0,956036.0,980029.0,980214.0,675067.0,675067.0,613011.0
태백시,222460,222460.0,222460.0,222460.0,222460.0,222460.0,222460.0,222460.0,222460.0
속초시,262534,278526.0,277795.0,282573.0,282144.0,281883.0,281883.0,281883.0,97161.0
삼척시,315225,316030.0,306614.0,306614.0,306614.0,306614.0,296131.0,289975.0,204058.0
홍천군,170040,170040.0,170040.0,171202.0,208722.0,207693.0,216801.0,201957.0,202360.0
횡성군,52587,52587.0,292777.0,292777.0,292777.0,282072.0,282072.0,247641.0,232404.0
영월군,32744,26479.0,26479.0,26479.0,28512.0,28512.0,30833.0,138396.0,137416.0
평창군,233507,233507.0,245486.0,241265.0,241265.0,241265.0,241265.0,241265.0,241387.0
정선군,155376,155376.0,155376.0,155376.0,179919.0,201855.0,200642.0,201012.0,123263.0
철원군,62715,73128.0,73128.0,73128.0,77896.0,65491.0,62962.0,62962.0,62962.0
화천군,2720,2720.0,2720.0,2720.0,2720.0,,,,
양구군,35394,35394.0,35394.0,35394.0,35394.0,35394.0,35394.0,35394.0,35394.0
인제군,48166,48166.0,48166.0,48166.0,48166.0,48166.0,48166.0,60611.0,63472.0
고성군,9412,9412.0,9412.0,9412.0,9412.0,9412.0,9412.0,9647.0,13209.0
양양군,87264,87242.0,87242.0,87242.0,87242.0,27498.0,27498.0,27862.0,33262.0
충청북도,12748170,13976412.0,14083912.0,14049866.0,14357000.0,14419928.0,13999335.0,14236391.0,15783736.0
청주시,2870969,2870849.0,6611791.0,6588212.0,6592557.0,7005083.0,7005083.0,7005083.0,7005083.0
충주시,2903841,2998410.0,3070844.0,3119914.0,3119416.0,3119416.0,2165481.0,2165481.0,4255814.0
제천시,395546,395546.0,395546.0,427004.0,343069.0,342659.0,342659.0,444131.0,486237.0
청원군,3737720,3740942.0,,,,,,,
옥천군,423209,423209.0,423209.0,423209.0,503636.0,378617.0,378617.0,378617.0,230958.0
영동군,567059,567059.0,567059.0,567059.0,617513.0,617513.0,585709.0,605541.0,252919.0
진천군,114362,675934.0,675934.0,566069.0,566069.0,563340.0,772784.0,849697.0,810325.0
괴산군,318180,318180.0,318180.0,318180.0,411186.0,387771.0,386140.0,393943.0,402397.0
음성군,987234,1346906.0,1346906.0,1361518.0,1529036.0,1281015.0,1638851.0,1707502.0,1707502.0
단양군,114385,114385.0,146222.0,146955.0,146202.0,146226.0,146226.0,146226.0,146226.0
증평군,315665,315709.0,315709.0,316266.0,316265.0,317741.0,317741.0,280126.0,226232.0
충청남도,14262098,15379764.0,15712259.0,17373277.0,18436247.0,18239077.0,18082042.0,18449794.0,16440313.0
천안시,2847814,2885456.0,2961834.0,3131946.0,3164102.0,3153142.0,3153142.0,3153142.0,2430020.0
공주시,627569,733684.0,745404.0,745404.0,745404.0,743876.0,743847.0,743847.0,668634.0
보령시,1043219,1043255.0,1043255.0,1043255.0,1989866.0,1934206.0,1716766.0,1711669.0,1684202.0
아산시,1450155,1457491.0,1470193.0,1470193.0,1470193.0,1470193.0,1566758.0,1566758.0,1634362.0
서산시,859857,859857.0,890610.0,2182113.0,2186202.0,2156419.0,2156718.0,2156718.0,1712198.0
논산시,668603,666495.0,665271.0,745579.0,744519.0,696392.0,691742.0,690517.0,304341.0
계룡시,387329,387329.0,534748.0,534748.0,610552.0,588642.0,587283.0,594654.0,372226.0
금산군,169061,169061.0,169061.0,169061.0,138886.0,120835.0,120835.0,120835.0,120835.0
부여군,15160,15160.0,15160.0,15160.0,15160.0,15160.0,15160.0,14301.0,6876.0
서천군,545913,413811.0,472561.0,480303.0,480303.0,585081.0,617869.0,694208.0,566763.0
청양군,62635,62635.0,62635.0,62635.0,62635.0,61041.0,58500.0,251271.0,251271.0
홍성군,896878,1052345.0,1052792.0,1033009.0,1032218.0,1026798.0,980588.0,980588.0,980588.0
예산군,849407,848210.0,852983.0,885137.0,885137.0,885137.0,856917.0,863403.0,863403.0
태안군,757193,1938817.0,1938817.0,1938817.0,1922773.0,1922773.0,1922773.0,1922773.0,1907850.0
당진시,3081305,2846158.0,2836935.0,2935917.0,2988297.0,2879382.0,2893144.0,2985110.0,2936744.0
전라북도,7218732,7353290.0,7377764.0,7378197.0,7389761.0,7656965.0,6750165.0,6609309.0,5132890.0
전주시,1024077,1019627.0,1019627.0,1019627.0,1006117.0,990733.0,1097472.0,1097472.0,1098368.0
군산시,1830293,1832934.0,1836905.0,1844337.0,1892361.0,1892361.0,1051289.0,1052170.0,903517.0
익산시,1030038,1114730.0,1097032.0,1033518.0,1033518.0,1186822.0,1184359.0,1254330.0,649726.0
정읍시,858227,858990.0,890973.0,890973.0,886619.0,885769.0,885769.0,782672.0,339364.0
남원시,208320,211752.0,211752.0,268267.0,268267.0,259581.0,259581.0,274534.0,274534.0
김제시,449073,449073.0,448787.0,448787.0,449906.0,449906.0,449906.0,307637.0,28977.0
완주군,1059484,1017333.0,1009255.0,1009255.0,989540.0,1023276.0,887070.0,902984.0,763708.0
무주군,11655,11655.0,11655.0,11655.0,11655.0,11655.0,11655.0,14446.0,14446.0
임실군,75417,75417.0,75417.0,75417.0,75417.0,75417.0,75417.0,75417.0,65979.0
순창군,28164,28164.0,28164.0,28164.0,28164.0,77380.0,77380.0,77380.0,82252.0
고창군,427811,439550.0,427839.0,427839.0,427839.0,427839.0,427839.0,427839.0,569078.0
부안군,216173,294065.0,320358.0,320358.0,320358.0,320358.0,286560.0,286560.0,287073.0
전라남도,18008291,18490126.0,19322868.0,18702194.0,17629922.0,17894540.0,21968991.0,21559270.0,22291937.0
목포시,872598,872598.0,893545.0,892062.0,892062.0,895132.0,895695.0,876956.0,787272.0
여수시,2581689,2738673.0,2922208.0,2926003.0,2446000.0,2728047.0,2912225.0,2917836.0,2939787.0
순천시,2573818,2569804.0,2569804.0,2569804.0,2569804.0,2559371.0,2356926.0,2064489.0,1789211.0
나주시,1172441,1178639.0,1077589.0,1079456.0,1075024.0,1073494.0,1080280.0,999526.0,940696.0
광양시,2593195,2808675.0,3451497.0,2878413.0,2881717.0,2881717.0,2784953.0,2784953.0,2345654.0
담양군,560211,587158.0,587158.0,587158.0,691893.0,682041.0,705786.0,632867.0,674272.0
곡성군,164617,168469.0,168469.0,149861.0,186786.0,186416.0,186416.0,186416.0,46329.0
구례군,27572,27572.0,88852.0,88852.0,88852.0,81512.0,190655.0,190683.0,156719.0
고흥군,110527,110527.0,110527.0,176582.0,191685.0,191685.0,191685.0,191685.0,173008.0
보성군,298748,298748.0,298748.0,298748.0,298748.0,298748.0,298748.0,298748.0,21940.0
화순군,364547,364547.0,364547.0,433168.0,433168.0,433168.0,433168.0,433168.0,246471.0
장흥군,496003,496003.0,518098.0,371822.0,371822.0,371822.0,371822.0,371822.0,371822.0
강진군,157588,171648.0,171648.0,128293.0,128293.0,124134.0,124134.0,124134.0,88277.0
해남군,1856406,1857556.0,1857850.0,1857850.0,1983295.0,1983295.0,4754761.0,4754761.0,7580401.0
