TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C2_OBJ_NM,DT,PRD_SE,C2,C1,C1_NM,C1_NM_ENG,C2_NM,C2_NM_ENG
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,435620,A,15315NJB000,15315HJG003005,서구,Seo-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,1238239,A,15315NJB000,15315HJG003007,북구,Buk-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,269795,A,15315NJB000,15315HJG003008,수성구,Suseong-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,821683,A,15315NJB000,15315HJG003009,달서구,Dalseo-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,3010847,A,15315NJB000,15315HJG003010,달성군,Dalseong-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,9756545,A,15315NJB000,15315HJG004,인천광역시,Incheon,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,18673,A,15315NJB000,15315HJG004001,중구,Jung-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,339081,A,15315NJB000,15315HJG004004,연수구,Yeonsu-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,820734,A,15315NJB000,15315HJG004005,남동구,Nam-dong,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,192449,A,15315NJB000,15315HJG004006,부평구,Bupyeong-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,185480,A,15315NJB000,15315HJG004007,계양구,Gyeyang-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,1077939,A,15315NJB000,15315HJG004008,서구,Seo-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,335830,A,15315NJB000,15315HJG004009,강화군,Ganghwa-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,6260204,A,15315NJB000,15315HJG004011,인천광역시,Incheon,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,526155,A,15315NJB000,15315HJG004013,미추홀구,Michuhol-Gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,3902033,A,15315NJB000,15315HJG005,광주광역시,Gwangju,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,278045,A,15315NJB000,15315HJG005002,서구,Seo-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,145150,A,15315NJB000,15315HJG005003,남구,Nam-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,701150,A,15315NJB000,15315HJG005004,북구,Buk-gu,계,Total
