TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_ID,ORG_ID,UNIT_NM,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM
강수량(시도),2021,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1249.2,A,00,전국(평균)
강수량(시도),2021,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1186.5,A,11,서울특별시
강수량(시도),2021,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1807.8,A,21,부산광역시
강수량(시도),2021,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,910,A,22,대구광역시
강수량(시도),2021,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1068.4,A,23,인천광역시
강수량(시도),2021,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1303.8,A,24,광주광역시
강수량(시도),2021,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1109.5,A,25,대전광역시
강수량(시도),2021,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1337,A,26,울산광역시
강수량(시도),2021,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1104.6,A,29,세종특별자치시
강수량(시도),2021,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1050.7,A,31,경기도
강수량(시도),2021,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1129.9,A,32,강원도
강수량(시도),2021,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1151.2,A,33,충청북도
강수량(시도),2021,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1171.7,A,34,충청남도
강수량(시도),2021,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1276.1,A,35,전라북도
강수량(시도),2021,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1392.4,A,36,전라남도
강수량(시도),2021,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1191.9,A,37,경상북도
강수량(시도),2021,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1480.3,A,38,경상남도
강수량(시도),2021,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1809.5,A,39,제주특별자치도
