TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_ID,ORG_ID,UNIT_NM,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM
강수량(시도),2018,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1386.9,A,00,전국(평균)
강수량(시도),2018,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1284.1,A,11,서울특별시
강수량(시도),2018,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1778.6,A,21,부산광역시
강수량(시도),2018,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1297.6,A,22,대구광역시
강수량(시도),2018,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1012.6,A,23,인천광역시
강수량(시도),2018,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1427.9,A,24,광주광역시
강수량(시도),2018,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1542.1,A,25,대전광역시
강수량(시도),2018,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1416.1,A,26,울산광역시
강수량(시도),2018,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1316.7,A,31,경기도
강수량(시도),2018,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1450,A,32,강원도
강수량(시도),2018,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1370.7,A,33,충청북도
강수량(시도),2018,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1313.7,A,34,충청남도
강수량(시도),2018,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1435.3,A,35,전라북도
강수량(시도),2018,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1479.3,A,36,전라남도
강수량(시도),2018,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1316.6,A,37,경상북도
강수량(시도),2018,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1679.9,A,38,경상남도
강수량(시도),2018,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1857.1,A,39,제주특별자치도
