TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_ID,ORG_ID,UNIT_NM,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM
강수량(시도),2012,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1479.1,A,00,전국(평균)
강수량(시도),2012,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1646.3,A,11,서울특별시
강수량(시도),2012,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1983.3,A,21,부산광역시
강수량(시도),2012,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1189.9,A,22,대구광역시
강수량(시도),2012,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1221.6,A,23,인천광역시
강수량(시도),2012,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1626.8,A,24,광주광역시
강수량(시도),2012,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1409.5,A,25,대전광역시
강수량(시도),2012,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1458.1,A,26,울산광역시
강수량(시도),2012,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1531.9,A,31,경기도
강수량(시도),2012,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1264.7,A,32,강원도
강수량(시도),2012,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1409.5,A,33,충청북도
강수량(시도),2012,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1455.7,A,34,충청남도
강수량(시도),2012,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1547.6,A,35,전라북도
강수량(시도),2012,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1688.8,A,36,전라남도
강수량(시도),2012,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1259.6,A,37,경상북도
강수량(시도),2012,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1689.3,A,38,경상남도
강수량(시도),2012,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,2206.4,A,39,제주특별자치도
