TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_ID,ORG_ID,UNIT_NM,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM
강수량(시도),2019,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1193,A,00,전국(평균)
강수량(시도),2019,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,891.3,A,11,서울특별시
강수량(시도),2019,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1623.2,A,21,부산광역시
강수량(시도),2019,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,995.7,A,22,대구광역시
강수량(시도),2019,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,864.7,A,23,인천광역시
강수량(시도),2019,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1085.9,A,24,광주광역시
강수량(시도),2019,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,984.2,A,25,대전광역시
강수량(시도),2019,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1450.1,A,26,울산광역시
강수량(시도),2019,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,959.3,A,29,세종특별자치시
강수량(시도),2019,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1000.5,A,31,경기도
강수량(시도),2019,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1094.6,A,32,강원도
강수량(시도),2019,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,941.1,A,33,충청북도
강수량(시도),2019,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,913.2,A,34,충청남도
강수량(시도),2019,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1148.2,A,35,전라북도
강수량(시도),2019,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1401.9,A,36,전라남도
강수량(시도),2019,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1147.8,A,37,경상북도
강수량(시도),2019,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1588.4,A,38,경상남도
강수량(시도),2019,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,2102.3,A,39,제주특별자치도
