지역,2012,2013,2014,2015,2016,2017,2018,2019,2020
연수구,1530747.0,1606772.0,1739052.0,1867107.0,1955816.4,2074214.4,2191989.8,2342490.5,2441280.2
남동구,2595049.0,2749704.0,3194905.0,3290694.0,3393112.1,3594294.1,4069671.2,4123544.6,4166853.5
부평구,2344965.0,2357291.0,2549801.0,2637563.0,2675099.3,2750022.6,2737298.2,2819192.4,2922441.8
계양구,1759131.0,2419120.0,3400855.0,3985510.0,4943340.6,5233186.5,5603131.2,5895447.2,5969860.6
강화군,442179.0,456520.0,485647.0,525674.0,513140.5,559378.7,551091.4,1330527.7,1804427.8
옹진군,100169.0,103011.0,113143.0,121159.0,120457.5,126428.7,131759.3,131506.5,127118.5
광주광역시,8180556.0,8254953.0,8523731.0,8787277.0,8980649.1,9212474.4,9284957.0,9377141.2,9444228.3
광산구,2352041.0,2386114.0,2484410.0,2590489.0,2675736.7,2787481.3,2857928.3,2969442.9,3032412.1
대전광역시,8410916.0,8295955.0,8616428.0,8730557.0,8991590.0,9144106.7,9192685.2,9139502.4,9068333.5
유성구,1843200.0,1858340.0,2001292.0,2068958.0,2169344.4,2246546.1,2283100.2,2310924.9,2369084.4
대덕구,1350030.0,1331073.0,1364306.0,1379953.0,1423936.2,1440305.1,1438264.6,1407082.0,1376195.1
울산광역시,6438179.0,6451166.0,6695310.0,6859117.0,7058627.0,7144292.7,7267712.6,7384773.5,7245922.7
울주군,1492178.0,1479492.0,1593809.0,1695291.0,1767574.0,1798752.2,1855472.2,1942862.8,1923883.1
경기도,65760166.6,65551533.5,68588710.2,70426594.9,74795569.2,77360123.4,79817880.3,80885304.1,82227636.7
수원시,5839311.4,5728131.6,6081582.1,6225756.7,6495439.0,6671683.3,6874338.8,6766605.5,6815256.6
성남시,4378983.9,4260938.3,4299833.2,4361617.6,4547132.8,4624474.1,4591034.6,4511371.8,4491463.0
의정부시,1815499.9,1767799.7,1836593.3,1878295.1,1965110.2,2065736.5,2116704.7,2171367.8,2204833.3
안양시,2926466.7,2817432.0,2855138.7,2901722.5,3008949.3,3076747.4,3016717.6,2954549.2,2888256.4
부천시,3866692.2,3754434.1,3784412.4,3784274.8,3925832.1,4058510.0,4070012.7,4013722.1,3948428.3
광명시,1468889.9,1428706.3,1455506.5,1428718.2,1479438.2,1462045.5,1479637.2,1428782.9,1396825.1
평택시,2689614.1,2728081.2,2892722.4,3031165.9,3196157.6,3355576.4,3514791.3,3678801.7,3778456.4
동두천시,427556.2,418289.7,430229.9,446240.5,471674.7,492344.8,504823.0,499810.7,505105.7
안산시,3968148.3,3916460.9,4031081.4,4035586.7,4222508.8,4290246.9,4283016.7,4224503.2,4236874.8
고양시,4816389.6,4772857.8,4938005.3,5064774.3,5356056.6,5468048.5,5572571.0,5561498.2,5608819.5
과천시,320617.7,302294.9,312442.0,311282.4,318754.4,287796.9,280215.1,280091.4,292687.4
구리시,891209.2,849611.4,846219.1,853863.3,893783.5,962222.5,999399.9,984615.5,983540.7
남양주시,3195155.6,3188265.4,3427552.4,3569722.6,3848720.3,3928521.7,4109328.1,4147577.1,4328886.9
오산시,1077628.9,1092997.2,1170692.6,1176676.4,1273631.6,1332408.5,1414587.0,1427867.5,1495311.9
시흥시,2499556.2,2475402.5,2571941.3,2646481.4,2778848.9,2917756.8,3140105.0,3311736.4,3441544.5
군포시,1375375.8,1371329.7,1385229.7,1381976.4,1449407.7,1473378.1,1461637.4,1464012.8,1463810.1
의왕시,796696.8,770992.7,808376.1,815581.0,851558.4,852901.2,850811.7,888855.1,914973.1
하남시,826845.7,825094.7,873739.2,982432.3,1127590.2,1315055.6,1452768.4,1566674.8,1686469.7
용인시,5546017.5,5371470.3,5715687.7,5677418.6,6112306.9,6216486.9,6419877.1,6496598.9,6564603.9
파주시,2467119.2,2446008.0,2586384.2,2668124.4,2872640.5,2946090.8,3056973.6,3089178.8,3114433.0
이천시,1336051.0,1380782.8,1437694.8,1478437.3,1580101.7,1636822.6,1655425.5,1688526.2,1710101.8
안성시,1170858.5,1288685.7,1366020.8,1398747.0,1584301.8,1600422.3,1612022.2,1583094.4,1642898.9
김포시,1840930.9,1916024.2,2146078.1,2269245.4,2422181.9,2644064.1,2861834.0,3011754.9,3103065.0
화성시,3505116.2,3528680.8,3807254.5,4169478.9,4592167.8,4939618.1,5447518.5,5882444.4,6214828.8
광주시,2124140.5,2204920.0,2343028.0,2485970.7,2675143.3,2835262.8,2992717.9,3116264.8,3179031.8
양주시,1113611.0,1105071.5,1165246.8,1222664.8,1296715.8,1343428.4,1430215.1,1482088.4,1508081.9
포천시,1156073.9,1333637.8,1408676.7,1481617.4,1587157.1,1609344.9,1604016.9,1607431.1,1617280.7
여주시,925459.3,994856.1,1051734.0,1067413.5,1132023.2,1162430.8,1165776.4,1187880.4,1196662.9
연천군,479573.7,511325.5,501474.3,516399.3,554214.3,570795.3,552405.0,566080.4,571749.5
가평군,323035.6,354005.7,363711.9,375142.2,391248.5,406950.6,425888.6,423714.1,432482.4
