TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C2_OBJ_NM,DT,C2,PRD_SE,C1,C1_NM,C2_NM
지방자치단체 폐기물 처리시설 현황_소각시설,2013,DT_106T_009432,지방자치단체 폐기물 처리시설 현황_소각시설,13103128660I119,톤,106,G/T,시도,항목별,4199895.535,13102128660T13103ME_009432H.002004,A,13102128660A.15106ME_009432.001001,합계,처리량
지방자치단체 폐기물 처리시설 현황_소각시설,2013,DT_106T_009432,지방자치단체 폐기물 처리시설 현황_소각시설,13103128660I119,톤,106,G/T,시도,항목별,794528,13102128660T13103ME_009432H.002004,A,13102128660A.15106ME_009432.001002,서울,처리량
지방자치단체 폐기물 처리시설 현황_소각시설,2013,DT_106T_009432,지방자치단체 폐기물 처리시설 현황_소각시설,13103128660I119,톤,106,G/T,시도,항목별,172664,13102128660T13103ME_009432H.002004,A,13102128660A.15106ME_009432.001003,부산,처리량
지방자치단체 폐기물 처리시설 현황_소각시설,2013,DT_106T_009432,지방자치단체 폐기물 처리시설 현황_소각시설,13103128660I119,톤,106,G/T,시도,항목별,135534,13102128660T13103ME_009432H.002004,A,13102128660A.15106ME_009432.001004,대구,처리량
지방자치단체 폐기물 처리시설 현황_소각시설,2013,DT_106T_009432,지방자치단체 폐기물 처리시설 현황_소각시설,13103128660I119,톤,106,G/T,시도,항목별,270802,13102128660T13103ME_009432H.002004,A,13102128660A.15106ME_009432.001005,인천,처리량
지방자치단체 폐기물 처리시설 현황_소각시설,2013,DT_106T_009432,지방자치단체 폐기물 처리시설 현황_소각시설,13103128660I119,톤,106,G/T,시도,항목별,88301,13102128660T13103ME_009432H.002004,A,13102128660A.15106ME_009432.001006,광주,처리량
지방자치단체 폐기물 처리시설 현황_소각시설,2013,DT_106T_009432,지방자치단체 폐기물 처리시설 현황_소각시설,13103128660I119,톤,106,G/T,시도,항목별,105694,13102128660T13103ME_009432H.002004,A,13102128660A.15106ME_009432.001007,대전,처리량
지방자치단체 폐기물 처리시설 현황_소각시설,2013,DT_106T_009432,지방자치단체 폐기물 처리시설 현황_소각시설,13103128660I119,톤,106,G/T,시도,항목별,122733,13102128660T13103ME_009432H.002004,A,13102128660A.15106ME_009432.001008,울산,처리량
지방자치단체 폐기물 처리시설 현황_소각시설,2013,DT_106T_009432,지방자치단체 폐기물 처리시설 현황_소각시설,13103128660I119,톤,106,G/T,시도,항목별,14514,13102128660T13103ME_009432H.002004,A,13102128660A.15106ME_009432.00100801,세종,처리량
지방자치단체 폐기물 처리시설 현황_소각시설,2013,DT_106T_009432,지방자치단체 폐기물 처리시설 현황_소각시설,13103128660I119,톤,106,G/T,시도,항목별,1126412.5,13102128660T13103ME_009432H.002004,A,13102128660A.15106ME_009432.001009,경기,처리량
지방자치단체 폐기물 처리시설 현황_소각시설,2013,DT_106T_009432,지방자치단체 폐기물 처리시설 현황_소각시설,13103128660I119,톤,106,G/T,시도,항목별,157408.58,13102128660T13103ME_009432H.002004,A,13102128660A.15106ME_009432.001010,강원,처리량
지방자치단체 폐기물 처리시설 현황_소각시설,2013,DT_106T_009432,지방자치단체 폐기물 처리시설 현황_소각시설,13103128660I119,톤,106,G/T,시도,항목별,154858.07,13102128660T13103ME_009432H.002004,A,13102128660A.15106ME_009432.001011,충북,처리량
지방자치단체 폐기물 처리시설 현황_소각시설,2013,DT_106T_009432,지방자치단체 폐기물 처리시설 현황_소각시설,13103128660I119,톤,106,G/T,시도,항목별,202038.13,13102128660T13103ME_009432H.002004,A,13102128660A.15106ME_009432.001012,충남,처리량
지방자치단체 폐기물 처리시설 현황_소각시설,2013,DT_106T_009432,지방자치단체 폐기물 처리시설 현황_소각시설,13103128660I119,톤,106,G/T,시도,항목별,158420,13102128660T13103ME_009432H.002004,A,13102128660A.15106ME_009432.001013,전북,처리량
지방자치단체 폐기물 처리시설 현황_소각시설,2013,DT_106T_009432,지방자치단체 폐기물 처리시설 현황_소각시설,13103128660I119,톤,106,G/T,시도,항목별,94478.56,13102128660T13103ME_009432H.002004,A,13102128660A.15106ME_009432.001014,전남,처리량
지방자치단체 폐기물 처리시설 현황_소각시설,2013,DT_106T_009432,지방자치단체 폐기물 처리시설 현황_소각시설,13103128660I119,톤,106,G/T,시도,항목별,175672.765,13102128660T13103ME_009432H.002004,A,13102128660A.15106ME_009432.001015,경북,처리량
지방자치단체 폐기물 처리시설 현황_소각시설,2013,DT_106T_009432,지방자치단체 폐기물 처리시설 현황_소각시설,13103128660I119,톤,106,G/T,시도,항목별,362827.9,13102128660T13103ME_009432H.002004,A,13102128660A.15106ME_009432.001016,경남,처리량
지방자치단체 폐기물 처리시설 현황_소각시설,2013,DT_106T_009432,지방자치단체 폐기물 처리시설 현황_소각시설,13103128660I119,톤,106,G/T,시도,항목별,63009.03,13102128660T13103ME_009432H.002004,A,13102128660A.15106ME_009432.001017,제주,처리량
