TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM,C1_NM_ENG
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.4,M,13102128238.15106ME_004383.003001,총계,Total
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.4,M,13102128238.15106ME_004383.003002001,서울,Seoul
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.4,M,13102128238.15106ME_004383.003003001,부산,Busan
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.4,M,13102128238.15106ME_004383.003004001,대구,Daegu
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.4,M,13102128238.15106ME_004383.003005001,인천,Incheon
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.4,M,13102128238.15106ME_004383.003006001,광주,Gwangju
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.3,M,13102128238.15106ME_004383.003007001,대전,Daejeon
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.5,M,13102128238.15106ME_004383.003008001,울산,Ulsan
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.5,M,13102128238.15106ME_004383.0030080101,세종,Sejong-si
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.5,M,13102128238.15106ME_004383.003009001,수원,Gyeonggi-do
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.4,M,13102128238.15106ME_004383.003009002,안양,Anyang-si
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.5,M,13102128238.15106ME_004383.003009003,성남,Seongnam-si
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.4,M,13102128238.15106ME_004383.003009004,의정부,Uijeongbu-si
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.4,M,13102128238.15106ME_004383.003009005,광명,Gwangmyeong-si
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.4,M,13102128238.15106ME_004383.003009006,안산,Ansan-si
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.3,M,13102128238.15106ME_004383.003009007,평택,Pyeongtaek-si
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.5,M,13102128238.15106ME_004383.003009008,과천,Gwacheon-si
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.3*,M,13102128238.15106ME_004383.003009009,구리,Guri-si
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.5,M,13102128238.15106ME_004383.003009010,의왕,Uiwang-si
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.4,M,13102128238.15106ME_004383.003009011,고양,Goyang-si
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.4,M,13102128238.15106ME_004383.003009012,광주,Gwangju
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.4,M,13102128238.15106ME_004383.003009013,군포,Gunpo-si
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.4,M,13102128238.15106ME_004383.003009014,시흥,Siheung-si
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.4,M,13102128238.15106ME_004383.003009015,부천,Bucheon-si
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.4,M,13102128238.15106ME_004383.003009016,남양주,Namyangju-si
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.5,M,13102128238.15106ME_004383.003009017,용인,Yongin-si
일산화탄소 월별 도시별 대기오염도,201906,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.3,M,13102128238.15106ME_004383.003009018,김포,Gimpo-si
