지역,2016,2017,2018,2019,2020,2021
경상북도,15391742,15674429,16237660,17517082,16785877,16926029
포항,1109485,1115077,1264236,1126953,1110538,1127938
경주,6833324,6984520,7123624,7238611,7330079,7362542
김천,1467100,1440675,1468176,1486900,1492430,1485056
안동,172281,199846,207166,1312475,204276,212097
구미,369450,379610,388269,389088,414675,426312
영주,234908,244299,269918,352623,351023,352296
영천,1263799,1288488,1322036,1294729,1341292,1346814
상주,141239,142431,148998,154014,156704,167237
문경,473558,478669,477427,368447,367920,364492
경산,2071225,2100184,2245127,2447714,2631291,2775820
군위,7824,7824,7824,7824,7824,7824
의성,130922,145195,145195,141672,167388,194782
청송,2409,2657,2657,2657,1995,1995
영양,13533,13533,13533,13533,13533,13533
영덕,53807,56274,52642,52642,49954,49954
청도,39920,52432,52432,52617,53122,53122
고령,59857,58353,68505,69417,71980,75282
성주,25177,25177,29057,29057,30332,29256
칠곡,757365,779453,790676,815402,842340,737906
예천,33631,28274,22949,23075,15903,10602
봉화,11367,11367,11678,11678,11367,11450
울진,111343,111873,112412,112831,109102,108912
울릉,8218,8218,13123,13123,10809,10809
경상남도,14339635,14514324,14641604,14818661,14573638,14820927
창원,2041089,2077316,2140549,2213257,2246489,2192988
진주,109396,114630,116093,135396,123943,135172
통영,257603,240623,241422,215612,99169,99169
사천,310948,339295,344389,342682,340448,349754
김해,4949803,4861898,4877946,4906265,4935350,4987852
밀양,227685,249474,229414,253544,239292,232087
거제,155716,155716,154854,158359,163407,263576
양산,5237075,5378193,5424218,5460991,5307830,5436620
의령,302792,300866,300866,297966,293882,295925
함안,198372,204497,209399,211603,212637,231969
창녕,293264,328232,337936,346437,345850,326255
남해,19505,19505,19505,19601,17567,16676
하동,5055,5055,5055,5055,5055,5055
산청,42240,43626,43626,45071,47363,47909
함양,39791,41214,37897,37897,37738,37738
거창,91972,91972,98470,100067,98623,94992
합천,14535,19418,17171,19418,19418,27766
제주특별자치도,571351,563305,552244,570449,569176,563582
제주,413428,404237,394827,419321,418555,433765
서귀포,157923,159068,157417,151128,150621,129817
세종특별자치시,558931,555296,554185,553960,541073,533204
