TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_ID,ORG_ID,UNIT_NM,UNIT_NM_ENG,C1_OBJ_NM,DT,PRD_SE,C1,C1_NM
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,141598932,S,000,합계
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,2710988,S,001,서울특별시
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,21554.91,S,002,종로구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,129054.3,S,003,중구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,802816.4,S,004,성동구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,13333.45,S,004_1,용산구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,19793.13,S,005,광진구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,54698.6,S,006,동대문구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,37185.62,S,007,중랑구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,21966.24,S,008,성북구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,16279.78,S,009,강북구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,54389.72,S,010,도봉구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,24529.2,S,011,노원구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,20041.19,S,012,은평구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,40032.85,S,013,서대문구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,31014.97,S,014,마포구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,24825.79,S,015,양천구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,490126.9,S,016,강서구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,127787.1,S,017,구로구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,440460.7,S,018,금천구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,149842.4,S,019,영등포구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,10567.8,S,020,동작구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,5429.9,S,021,관악구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,20013.25,S,023,서초구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,36955.43,S,024,강남구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,90377.95,S,025,송파구
도시지역 개별입지 공장 현황,201902,TX_399020016,면적,B,399,㎡,㎡,지역별,27910.39,S,026,강동구
