TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_ID,ORG_ID,UNIT_NM,UNIT_NM_ENG,C1_OBJ_NM,DT,PRD_SE,C1,C1_NM
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,140502452,S,000,합계
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,2819258,S,001,서울특별시
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,20148,S,002,종로구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,124786,S,003,중구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,798724,S,004,성동구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,17466,S,004_1,용산구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,18055,S,005,광진구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,39477,S,006,동대문구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,40589,S,007,중랑구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,26744,S,008,성북구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,21092,S,009,강북구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,50931,S,010,도봉구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,31199,S,011,노원구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,18609,S,012,은평구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,46351,S,013,서대문구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,35093,S,014,마포구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,27698,S,015,양천구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,499769,S,016,강서구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,181179,S,017,구로구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,494315,S,018,금천구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,144618,S,019,영등포구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,11519,S,020,동작구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,8116,S,021,관악구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,18527,S,023,서초구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,37554,S,024,강남구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,71542,S,025,송파구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,35157,S,026,강동구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,12495663,S,027,부산광역시
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,4966,S,028,중구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,271495,S,029,서구
도시지역 개별입지 공장 현황,201602,TX_399020016,면적,B,399,㎡,㎡,지역별,36126,S,030,동구
