행정구역(시군구)별,항목,단위,2000.01 월,2001.01 월,2002.01 월,2003.01 월,2004.01 월,2005.01 월,2006.01 월,2007.01 월,2008.01 월,2009.01 월,2010.01 월,2011.01 월,2012.01 월,2013.01 월,2014.01 월,2015.01 월,2016.01 월,2017.01 월,2018.01 월,2019.01 월,2020.01 월,2021.01 월,2022.01 월
경기도,시도간전출[명],명,39850.0,34781.0,45440.0,42402.0,39299.0,43281.0,47432.0,64463.0,55089.0,44307.0,45331.0,47204.0,44640,46325,43316,47439,43405,43582,47845,49216,48971,41266,43073
강원도,총전입[명],명,20167.0,17129.0,21173.0,22174.0,18943.0,21392.0,20915.0,25737.0,23550.0,19519.0,20427.0,18598.0,18710,19387,16030,19038,20120,18522,21088,21694,22167,17653,18837
강원도,총전출[명],명,21782.0,18394.0,25924.0,26229.0,20637.0,22949.0,22148.0,26483.0,24356.0,20352.0,21688.0,19821.0,19938,20401,17587,19840,20392,19855,22708,22722,22664,18450,18219
강원도,순이동[명],명,-1615.0,-1265.0,-4751.0,-4055.0,-1694.0,-1557.0,-1233.0,-746.0,-806.0,-833.0,-1261.0,-1223.0,-1228,-1014,-1557,-802,-272,-1333,-1620,-1028,-497,-797,618
강원도,시도내이동-시군구내[명],명,9901.0,7810.0,9194.0,9310.0,8167.0,10012.0,9310.0,11528.0,10615.0,8605.0,8761.0,8042.0,7481,8519,6402,7743,8613,7947,8954,9862,10475,7233,8521
강원도,시도내이동-시군구간 전입[명],명,4203.0,3556.0,5252.0,6334.0,4383.0,4819.0,4571.0,5439.0,4929.0,4165.0,4632.0,3822.0,4120,3679,3414,3792,3744,3853,4645,4023,3998,3232,3150
강원도,시도내이동-시군구간 전출[명],명,4203.0,3556.0,5252.0,6334.0,4383.0,4819.0,4571.0,5439.0,4929.0,4165.0,4632.0,3822.0,4120,3679,3414,3792,3744,3853,4645,4023,3998,3232,3150
강원도,시도간전입[명],명,6063.0,5763.0,6727.0,6530.0,6393.0,6561.0,7034.0,8770.0,8006.0,6749.0,7034.0,6734.0,7109,7189,6214,7503,7763,6722,7489,7809,7694,7188,7166
강원도,시도간전출[명],명,7678.0,7028.0,11478.0,10585.0,8087.0,8118.0,8267.0,9516.0,8812.0,7582.0,8295.0,7957.0,8337,8203,7771,8305,8035,8055,9109,8837,8191,7985,6548
충청북도,총전입[명],명,17734.0,17213.0,22333.0,19452.0,17530.0,19913.0,19595.0,24498.0,22299.0,17379.0,18707.0,19342.0,17178,17218,16093,18060,17449,16809,19100,21634,20320,20302,16260
충청북도,총전출[명],명,18723.0,17512.0,22045.0,20256.0,17520.0,20908.0,20276.0,24405.0,22347.0,17738.0,18925.0,18791.0,17288,17487,16363,18712,17631,16797,19359,21478,20743,21205,16324
충청북도,순이동[명],명,-989.0,-299.0,288.0,-804.0,10.0,-995.0,-681.0,93.0,-48.0,-359.0,-218.0,551.0,-110,-269,-270,-652,-182,12,-259,156,-423,-903,-64
충청북도,시도내이동-시군구내[명],명,7834.0,7763.0,10553.0,8969.0,7457.0,9541.0,8976.0,10243.0,9520.0,7023.0,8094.0,8466.0,6831,6960,6800,8525,7915,8023,9149,10551,10156,10195,7289
충청북도,시도내이동-시군구간 전입[명],명,4091.0,3861.0,4188.0,4115.0,3777.0,4115.0,4041.0,5984.0,5158.0,4065.0,4132.0,4013.0,3720,3483,3116,2526,2608,2228,2370,2994,2700,2938,2393
