,소재지(시군구)별(1),소재지(시군구)별(2),2008,2008.5,2009,2009.5,2010,2010.5,2011,2011.5,2012,2012.5,2013,2013.5,2014,2014.5,2015,2015.5,2016,2016.5,2017,2017.5,2018,2018.5,2019,2019.5,2020,2020.5
0,소재지(시군구)별(1),소재지(시군구)별(2),10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상
1,소재지(시군구)별(1),소재지(시군구)별(2),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b)
33,경기도,고양시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18072,0,130834,4582401,126494,4582401,181100,4582401
34,경기도,남양주시,-,-,1712,0,-,-,-,-,-,-,717126,797811,703508,815010,684534,879991,556527,723357,522684,722403,522018,727833,527600,625178,3447,721319
35,경기도,화성시,-,-,-,-,-,-,-,-,4719429,161711,4719429,161711,4629334,161711,10169062,184166,10294394,184166,9984279,184166,4244703,184166,4244703,184166,3462472,966397
36,경기도,의정부시,5550,0,5550,0,5550,0,5550,589,5550,589,5550,589,5550,0,4293,0,4293,0,0,4293,0,4293,0,4293,0,4293
37,경기도,시흥시,-,-,817,0,817,0,817,0,817,0,817,0,817,0,817,0,817,0,817,0,-,-,-,-,-,-
38,경기도,김포시,575709,0,575709,0,0,575709,0,575709,0,575709,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,경기도,군포시,0,55393,0,55393,0,55393,0,55393,0,55393,98925,55393,0,55393,0,55393,0,55393,0,55393,0,55393,0,55393,0,55393
40,경기도,광주시,103030,623042,103030,623042,101559,624513,63789,662283,61767,662283,61767,662283,48424,705512,48424,705512,48424,705512,0,753936,0,753936,0,753936,0,753936
41,경기도,양주시,495535,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,경기도,구리시,32201,0,32201,0,5714,0,5783,0,5783,0,5783,0,5783,0,5783,0,0,5783,0,5783,0,5783,0,5783,0,6237
43,경기도,포천시,-,-,-,-,16419247,0,16413699,0,16433800,0,16185250,3848641,16150197,3848641,16150197,3848641,16244033,3632954,16244033,3632954,17150321,4148979,17150321,4148979,31599,16914930
44,경기도,의왕시,3506,0,3506,0,-,-,0,1195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,경기도,하남시,669956,0,649000,0,546895,0,513787,0,513787,0,515223,0,512593,0,78411,432746,78411,432255,0,510363,9058,745299,9058,745299,9058,745299
46,경기도,동두천시,7144,0,-,-,-,-,-,-,-,-,-,-,-,-,5866,0,5866,0,5866,0,5866,0,5866,0,5866,0
47,경기도,과천시,4820,0,3641,0,3641,0,3641,0,3641,0,3641,0,3641,0,0,2241,0,222,-,-,583,222,583,222,583,222
48,경기도,연천군,0,39000,0,39000,0,39000,0,39000,0,39000,0,39000,0,39000,-,-,-,-,-,-,-,-,-,-,-,-
49,경기도,평택시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5843,51557,181191,0,181191,0
50,강원도,소계,197127,122640,188000,131767,1232310,50767,1619227,50767,1619227,50767,1730665,41640,1754650,41640,1796290,0,9408519,0,8661567,27612,8661567,27612,10827686,1513875,8270113,4066911
51,강원도,강릉시,-,-,-,-,27612,0,27612,0,27612,0,139050,0,139050,0,139050,0,139050,0,111438,27612,111438,27612,111438,27612,111438,27612
52,강원도,횡성군,-,-,-,-,-,-,-,-,-,-,-,-,23985,0,23985,0,-,-,-,-,-,-,-,-,-,-
53,강원도,평창군,0,122640,0,122640,677700,41640,677700,41640,677700,41640,677700,41640,677700,41640,719340,0,719340,0,-,-,-,-,-,-,-,-
54,강원도,정선군,188000,0,188000,0,-,-,-,-,-,-,-,-,-,-,-,-,8163212,0,8163212,0,8163212,0,10329331,1486263,8158675,3652382
55,강원도,화천군,-,-,-,-,-,-,386917,0,386917,0,386917,0,386917,0,386917,0,386917,0,386917,0,386917,0,386917,0,0,386917
56,강원도,고성군,-,-,-,-,526998,0,526998,0,526998,0,526998,0,526998,0,526998,0,-,-,-,-,-,-,-,-,-,-
57,강원도,양양군,9127,0,0,9127,0,9127,0,9127,0,9127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
