,소재지(시군구)별,도시및비도시지역별,항목,단위,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,Unnamed: 20
130,강동구,합계,면적[㎡],㎡,24577494.0,24577966.0,24577686.0,24577347.0,24580819.0,24584502.0,24585041.0,24585121.0,24587197.0,24586706.0,24589340.0,24589280.0,24588972.0,24590637.0,24590256.0,24590480.0,
135,부산광역시,합계,면적[㎡],㎡,764434910.0,765102417.0,765641258.0,765937141.0,766116385.0,767347053.0,768408741.0,769692611.0,769863394.0,769816996.0,769832899.0,769885002.0,770035669.0,769939359.0,770073413.0,770074767.0,
140,중구,합계,면적[㎡],㎡,2804812.0,2804865.0,2804863.0,2817543.0,2817543.0,2817765.0,2817881.0,2825220.0,2825943.0,2825951.0,2826064.0,2826064.0,2825996.0,2825802.0,2825782.0,2825790.0,
145,서구,합계,면적[㎡],㎡,13688038.0,13733850.0,13728447.0,13839237.0,13883381.0,13883335.0,13883885.0,13883667.0,13926827.0,13932888.0,13940852.0,13957907.0,13978324.0,13978432.0,13979612.0,13956280.0,
150,동구,합계,면적[㎡],㎡,9758204.0,9758014.0,9779308.0,9777915.0,9777610.0,9777617.0,9733156.0,9732885.0,9732670.0,9732324.0,9736481.0,9736386.0,9736399.0,9735789.0,9865235.0,9864621.0,
155,영도구,합계,면적[㎡],㎡,14030900.0,14030710.0,14039851.0,14099579.0,14126453.0,14126788.0,14126286.0,14126113.0,14128841.0,14149226.0,14149322.0,14194746.0,14195627.0,14200648.0,14199595.0,14199798.0,
160,부산진구,합계,면적[㎡],㎡,29690162.0,29683177.0,29684496.0,29685996.0,29687766.0,29689914.0,29688573.0,29692549.0,29694082.0,29695492.0,29681083.0,29682128.0,29665979.0,29666227.0,29666238.0,29667537.0,
165,동래구,합계,면적[㎡],㎡,16641354.0,16641402.0,16639960.0,16645995.0,16634855.0,16628526.0,16628888.0,16633608.0,16634045.0,16633986.0,16634314.0,16634279.0,16632894.0,16633202.0,16631774.0,16631311.0,
170,남구,합계,면적[㎡],㎡,26022253.0,26428991.0,26451610.0,26470473.0,26622415.0,26765833.0,26807474.0,26808390.0,26808030.0,26809387.0,26808091.0,26809095.0,26812384.0,26813386.0,26818105.0,26819285.0,
175,북구,합계,면적[㎡],㎡,38301576.0,38302872.0,38303506.0,39436441.0,39436944.0,39443180.0,39358360.0,39359356.0,39365452.0,39364802.0,39364563.0,39364573.0,39365981.0,39367122.0,39370091.0,39369729.0,
180,해운대구,합계,면적[㎡],㎡,51440661.0,51436873.0,51452764.0,51456232.0,51459577.0,51460232.0,51462072.0,51462119.0,51467208.0,51466417.0,51465378.0,51472658.0,51473049.0,51476914.0,51474858.0,51502753.0,
185,사하구,합계,면적[㎡],㎡,40890218.0,40936057.0,40939032.0,40939689.0,40950616.0,40956340.0,41717729.0,41723836.0,41725118.0,41746976.0,41750891.0,41751893.0,41886457.0,41770795.0,41769978.0,41770878.0,
190,금정구,합계,면적[㎡],㎡,65200641.0,65279490.0,65128737.0,65159038.0,65175555.0,65174875.0,65200156.0,65191609.0,65265858.0,65270234.0,65272984.0,65273185.0,65274389.0,65278223.0,65274057.0,65262004.0,
195,강서구,합계,면적[㎡],㎡,179914171.0,180005773.0,180573374.0,179272426.0,179142595.0,180242514.0,180584736.0,181609350.0,181634872.0,181495220.0,181507201.0,181484338.0,181491529.0,181496515.0,181494645.0,181495481.0,
200,연제구,합계,면적[㎡],㎡,12079030.0,12079057.0,12079009.0,12078325.0,12078226.0,12078943.0,12078941.0,12078959.0,12078999.0,12079367.0,12097272.0,12099127.0,12098570.0,12098453.0,12098903.0,12099534.0,
205,수영구,합계,면적[㎡],㎡,10211899.0,10210027.0,10214518.0,10203543.0,10203844.0,10204078.0,10204019.0,10204167.0,10205442.0,10205459.0,10205709.0,10205843.0,10206904.0,10207092.0,10212429.0,10212703.0,
210,사상구,합계,면적[㎡],㎡,35838808.0,35838638.0,35841075.0,36043942.0,36060795.0,36060307.0,36060326.0,36087136.0,36087187.0,36087946.0,36092975.0,36092999.0,36093166.0,36093162.0,36093426.0,36101154.0,
215,기장군,합계,면적[㎡],㎡,217922183.0,217932621.0,217980708.0,218010767.0,218058210.0,218036806.0,218056259.0,218273647.0,218282820.0,218321321.0,218299719.0,218299781.0,218298021.0,218297597.0,218298685.0,218295909.0,
220,대구광역시,합계,면적[㎡],㎡,884455509.0,884327108.0,884096316.0,884104928.0,884067460.0,884098403.0,883683229.0,883632421.0,883482974.0,883540110.0,883562680.0,883561378.0,883603108.0,883519271.0,883517309.0,883487489.0,
225,대구광역시,합계,면적[㎡],㎡,884455509.0,884327108.0,884096316.0,,,,,,,,,,,,,,
230,중구,합계,면적[㎡],㎡,,,,7069444.0,7059009.0,7058987.0,7054155.0,7054176.0,7055893.0,7055268.0,7055264.0,7054680.0,7056370.0,7055439.0,7055185.0,7055049.0,
235,동구,합계,면적[㎡],㎡,,,,182214222.0,182217242.0,182219302.0,182217312.0,182163257.0,182164816.0,182173779.0,182191484.0,182183903.0,182161631.0,182160590.0,182145982.0,182137624.0,
240,서구,합계,면적[㎡],㎡,,,,17484740.0,17481752.0,17482599.0,17482738.0,17482649.0,17353160.0,17325849.0,17326096.0,17328554.0,17328302.0,17328460.0,17333125.0,17319972.0,
245,남구,합계,면적[㎡],㎡,,,,17436410.0,17434883.0,17434688.0,17434007.0,17435317.0,17435317.0,17435544.0,17435694.0,17435147.0,17428915.0,17430110.0,17431532.0,17431244.0,
250,북구,합계,면적[㎡],㎡,,,,94113086.0,94098858.0,94090373.0,94082413.0,94080734.0,94078613.0,94075890.0,94070532.0,94072524.0,94071813.0,93979569.0,93983908.0,93985404.0,
255,수성구,합계,면적[㎡],㎡,,,,76461620.0,76458873.0,76462901.0,76462068.0,76467812.0,76464885.0,76466610.0,76465609.0,76466396.0,76536623.0,76534405.0,76535345.0,76536913.0,
260,달서구,합계,면적[㎡],㎡,,,,62342890.0,62341646.0,62342296.0,62342471.0,62341070.0,62341087.0,62340753.0,62341541.0,62339776.0,62343286.0,62341432.0,62339700.0,62340043.0,
265,달성군,합계,면적[㎡],㎡,,,,426982516.0,426975197.0,427007257.0,426608065.0,426607406.0,426589203.0,426666417.0,426676460.0,426680398.0,426676168.0,426689266.0,426692532.0,426681240.0,
270,인천광역시,합계,면적[㎡],㎡,994123686.0,1002067262.0,1007468121.0,1010349166.0,1027005760.0,1029440029.0,1032414331.0,1040822751.0,1040875891.0,1047598223.0,1048981364.0,1062599731.0,1063115331.0,1063271304.0,1063257852.0,1065225940.0,
275,중구,합계,면적[㎡],㎡,110941374.0,114596565.0,115150564.0,115246236.0,121147486.0,123094326.0,123079615.0,131294491.0,131288370.0,133195290.0,133458509.0,140186218.0,140274744.0,140278158.0,140286900.0,140355548.0,
280,동구,합계,면적[㎡],㎡,7025932.0,7111513.0,7186458.0,7185951.0,7187345.0,7187364.0,7188887.0,7189236.0,7189826.0,7190995.0,7191313.0,7191314.0,7193925.0,7194484.0,7194831.0,7196852.0,
285,남구,합계,면적[㎡],㎡,24449894.0,24471384.0,24463394.0,24852416.0,24846757.0,24848718.0,24839181.0,24838016.0,24839807.0,24841218.0,24841193.0,24839163.0,24834652.0,,,,
290,미추홀구,합계,면적[㎡],㎡,,,,,,,,,,,,,,24834640.0,24835030.0,24835030.0,
295,연수구,합계,면적[㎡],㎡,30552387.0,33763536.0,33761687.0,33713889.0,42745685.0,42746625.0,45568187.0,45568274.0,45568273.0,49067620.0,50072589.0,54946786.0,54946952.0,54947866.0,54947866.0,56192451.0,
300,남동구,합계,면적[㎡],㎡,56846367.0,56823855.0,56845516.0,56863721.0,56859323.0,56990344.0,57013499.0,57014724.0,57009225.0,57032165.0,57032231.0,57051952.0,57055358.0,57048595.0,57016644.0,57453964.0,
305,부평구,합계,면적[㎡],㎡,31980724.0,31984730.0,31986698.0,31992489.0,31987810.0,31997161.0,31998525.0,31998666.0,32002420.0,32002203.0,32003696.0,32003262.0,32007510.0,32008788.0,32008762.0,32002686.0,
310,계양구,합계,면적[㎡],㎡,45579938.0,45574078.0,45568114.0,45562460.0,45576667.0,45573482.0,45574097.0,45572956.0,45569113.0,45568676.0,45571145.0,45571482.0,45569771.0,45565926.0,45565180.0,45570690.0,
315,서구,합계,면적[㎡],㎡,111147435.0,112190835.0,112201623.0,113522853.0,113623690.0,113911169.0,113909341.0,114006896.0,114005951.0,115168901.0,115184827.0,116902708.0,116902904.0,117084799.0,117087390.0,117265219.0,
320,강화군,합계,면적[㎡],㎡,411264383.0,411189855.0,411304222.0,411274229.0,411330560.0,411235079.0,411321935.0,411351402.0,411330788.0,411433046.0,411434328.0,411428019.0,411446461.0,411426993.0,411411035.0,411420693.0,
325,옹진군,합계,면적[㎡],㎡,164335252.0,164360911.0,168999845.0,170134922.0,171700437.0,171855761.0,171921064.0,171988090.0,172072118.0,172098109.0,172191533.0,172478827.0,172883054.0,172881055.0,172904214.0,172932807.0,
330,광주광역시,합계,면적[㎡],㎡,501410850.0,501313667.0,501284158.0,501200854.0,501250758.0,501242318.0,501187243.0,501177097.0,501176516.0,501177834.0,501154498.0,501244363.0,501181188.0,501175533.0,501136261.0,501128395.0,
335,광주광역시,합계,면적[㎡],㎡,501410850.0,,,,,,,,,,,,,,,,
340,동구,합계,면적[㎡],㎡,,48865471.0,48862767.0,48861119.0,48861191.0,48860030.0,49196644.0,49196895.0,49195517.0,49206954.0,49205592.0,49319022.0,49317392.0,49312882.0,49312364.0,49314806.0,
345,서구,합계,면적[㎡],㎡,,46733065.0,46726999.0,46714061.0,46711902.0,46710902.0,47780974.0,47777927.0,47789619.0,47785058.0,47779248.0,47776114.0,47775736.0,47760519.0,47748121.0,47755168.0,
350,남구,합계,면적[㎡],㎡,,61081510.0,61075902.0,61030132.0,61022890.0,61020263.0,61022269.0,61009170.0,60994653.0,60989168.0,60984269.0,60980877.0,60984158.0,61024995.0,61018238.0,60990416.0,
