,행정구역별,자동차등록용도별,차종별,항목,단위,2020 년,2019 년,2018 년,2017 년,2016 년,2015 년,2014 년,2013 년,2012 년,Unnamed: 14
1111,사하구,전체,합계,연간 주행거리[천㎞],천㎞,1583016.5,1700014.1,1718285.2,1661028.7,1627382.0,1702864.0,1735411.0,1832982.0,1898837.0,
1141,금정구,전체,합계,연간 주행거리[천㎞],천㎞,1364534.3,1470192.9,1469457.4,1410456.6,1348308.0,1424003.0,1419593.0,1483315.0,1545648.0,
1171,강서구,전체,합계,연간 주행거리[천㎞],천㎞,1217305.0,1226239.7,1188192.3,1121609.6,1029696.8,929366.0,822956.0,729734.0,719914.0,
1201,연제구,전체,합계,연간 주행거리[천㎞],천㎞,1291796.9,1295077.2,1251018.8,1138870.5,1112490.7,1074920.0,1071856.0,1015948.0,1063855.0,
1231,수영구,전체,합계,연간 주행거리[천㎞],천㎞,1513796.1,1390022.7,883368.9,824050.5,801310.7,797450.0,799475.0,778201.0,820019.0,
1261,사상구,전체,합계,연간 주행거리[천㎞],천㎞,1337948.4,1430106.9,1455534.1,1433530.0,1393057.2,1448623.0,1452571.0,1506631.0,1567184.0,
1291,기장군,전체,합계,연간 주행거리[천㎞],천㎞,1218142.7,1199432.9,1174840.5,1103638.3,1063837.0,1002179.0,957334.0,846958.0,724811.0,
1321,대구광역시,전체,합계,연간 주행거리[천㎞],천㎞,15781735.3,15968412.7,16190891.4,16116873.7,15834493.9,15397853.0,15137599.0,14617666.0,14575187.0,
1351,중구,전체,합계,연간 주행거리[천㎞],천㎞,621181.3,596592.3,608513.5,559638.0,550089.7,504213.0,488335.0,438932.0,433692.0,
1381,동구,전체,합계,연간 주행거리[천㎞],천㎞,2222676.7,2328949.3,2355062.0,2392742.1,2357598.8,2333612.0,2261411.0,2163302.0,2104896.0,
1411,서구,전체,합계,연간 주행거리[천㎞],천㎞,980119.5,1029295.1,1106283.9,1132891.4,1153333.3,1167909.0,1186941.0,1165946.0,1166424.0,
1441,남구,전체,합계,연간 주행거리[천㎞],천㎞,705609.7,718307.7,754015.9,776757.4,786715.1,778741.0,782826.0,765642.0,794085.0,
1471,북구,전체,합계,연간 주행거리[천㎞],천㎞,2985307.5,2936514.9,2988593.6,2987482.0,2967374.7,2851544.0,2826094.0,2711480.0,2715654.0,
1501,수성구,전체,합계,연간 주행거리[천㎞],천㎞,2557908.9,2603669.9,2635377.4,2670332.8,2661712.4,2553542.0,2532707.0,2472716.0,2509083.0,
1531,달서구,전체,합계,연간 주행거리[천㎞],천㎞,3728346.9,3785259.1,3805931.9,3821044.2,3810397.2,3783286.0,3757010.0,3660037.0,3658384.0,
1561,달성군,전체,합계,연간 주행거리[천㎞],천㎞,1980584.9,1969824.2,1937113.4,1775985.9,1547272.7,1425007.0,1302275.0,1239611.0,1192969.0,
1591,인천광역시,전체,합계,연간 주행거리[천㎞],천㎞,25018051.4,24517415.8,23872004.7,22950226.3,21914727.4,20657877.0,19162169.0,16882982.0,15810954.0,
1621,중구,전체,합계,연간 주행거리[천㎞],천㎞,1371406.6,1361071.1,1260890.3,1266950.9,1200586.2,1225045.0,1253684.0,1141871.0,1002709.0,
1651,동구,전체,합계,연간 주행거리[천㎞],천㎞,429190.3,427872.3,431918.0,439863.8,437031.9,461029.0,473571.0,458948.0,470182.0,
1681,미추홀구,전체,합계,연간 주행거리[천㎞],천㎞,2178736.8,2519472.1,3403538.9,3524898.7,3362821.6,3100577.0,2657330.0,2536465.0,2605050.0,
1711,연수구,전체,합계,연간 주행거리[천㎞],천㎞,2441280.2,2342490.5,2191989.8,2074214.4,1955816.4,1867107.0,1739052.0,1606772.0,1530747.0,
1741,남동구,전체,합계,연간 주행거리[천㎞],천㎞,4166853.5,4123544.6,4069671.2,3594294.1,3393112.1,3290694.0,3194905.0,2749704.0,2595049.0,
1771,부평구,전체,합계,연간 주행거리[천㎞],천㎞,2922441.8,2819192.4,2737298.2,2750022.6,2675099.3,2637563.0,2549801.0,2357291.0,2344965.0,
1801,계양구,전체,합계,연간 주행거리[천㎞],천㎞,5969860.6,5895447.2,5603131.2,5233186.5,4943340.6,3985510.0,3400855.0,2419120.0,1759131.0,
1831,서구,전체,합계,연간 주행거리[천㎞],천㎞,3606735.4,3566291.4,3490716.3,3380987.9,3313321.1,3443520.0,3294181.0,3053280.0,2960774.0,
1861,강화군,전체,합계,연간 주행거리[천㎞],천㎞,1804427.8,1330527.7,551091.4,559378.7,513140.5,525674.0,485647.0,456520.0,442179.0,
1891,옹진군,전체,합계,연간 주행거리[천㎞],천㎞,127118.5,131506.5,131759.3,126428.7,120457.5,121159.0,113143.0,103011.0,100169.0,
1921,광주광역시,전체,합계,연간 주행거리[천㎞],천㎞,9444228.3,9377141.2,9284957.0,9212474.4,8980649.1,8787277.0,8523731.0,8254953.0,8180556.0,
1951,동구,전체,합계,연간 주행거리[천㎞],천㎞,539152.3,503237.2,494336.8,488548.3,485723.0,471797.0,463746.0,460797.0,473053.0,
1981,서구,전체,합계,연간 주행거리[천㎞],천㎞,1919407.3,1927505.9,1939309.0,1997087.8,1953715.9,1918923.0,1906418.0,1871745.0,1859070.0,
2011,남구,전체,합계,연간 주행거리[천㎞],천㎞,1209672.4,1208075.8,1207712.3,1227776.4,1216450.3,1197842.0,1136938.0,1070572.0,1064343.0,
2041,북구,전체,합계,연간 주행거리[천㎞],천㎞,2743584.2,2768879.3,2785670.6,2711580.6,2649023.1,2608227.0,2532220.0,2465725.0,2432048.0,
2071,광산구,전체,합계,연간 주행거리[천㎞],천㎞,3032412.1,2969442.9,2857928.3,2787481.3,2675736.7,2590489.0,2484410.0,2386114.0,2352041.0,
2101,대전광역시,전체,합계,연간 주행거리[천㎞],천㎞,9068333.5,9139502.4,9192685.2,9144106.7,8991590.0,8730557.0,8616428.0,8295955.0,8410916.0,
2131,동구,전체,합계,연간 주행거리[천㎞],천㎞,1276996.5,1291688.7,1282243.0,1296239.2,1297534.8,1281369.0,1280684.0,1258133.0,1287964.0,
2161,중구,전체,합계,연간 주행거리[천㎞],천㎞,1379858.0,1423940.3,1446979.5,1444346.9,1432163.2,1397707.0,1369719.0,1351338.0,1389232.0,
2191,서구,전체,합계,연간 주행거리[천㎞],천㎞,2666199.4,2705866.5,2742098.0,2716669.3,2668611.5,2602569.0,2600428.0,2497073.0,2540490.0,
2221,유성구,전체,합계,연간 주행거리[천㎞],천㎞,2369084.4,2310924.9,2283100.2,2246546.1,2169344.4,2068958.0,2001292.0,1858340.0,1843200.0,
2251,대덕구,전체,합계,연간 주행거리[천㎞],천㎞,1376195.1,1407082.0,1438264.6,1440305.1,1423936.2,1379953.0,1364306.0,1331073.0,1350030.0,
2281,울산광역시,전체,합계,연간 주행거리[천㎞],천㎞,7245922.7,7384773.5,7267712.6,7144292.7,7058627.0,6859117.0,6695310.0,6451166.0,6438179.0,
2311,중구,전체,합계,연간 주행거리[천㎞],천㎞,1203466.1,1252303.5,1289562.0,1293335.0,1291124.4,1254051.0,1209356.0,1162783.0,1154818.0,
2341,남구,전체,합계,연간 주행거리[천㎞],천㎞,1948437.8,1996733.4,2003691.7,2025825.1,2020238.8,1998348.0,2002825.0,1988328.0,2002860.0,
2371,동구,전체,합계,연간 주행거리[천㎞],천㎞,731095.8,771261.2,771249.3,765646.6,742115.9,736687.0,713729.0,724741.0,710278.0,
2401,북구,전체,합계,연간 주행거리[천㎞],천㎞,1439039.8,1421612.5,1347737.5,1260733.9,1237573.8,1174740.0,1175592.0,1095822.0,1078044.0,
2431,울주군,전체,합계,연간 주행거리[천㎞],천㎞,1923883.1,1942862.8,1855472.2,1798752.2,1767574.0,1695291.0,1593809.0,1479492.0,1492178.0,
2461,세종특별자치시,전체,합계,연간 주행거리[천㎞],천㎞,2399776.3,2283352.6,2084030.9,1811727.9,1563413.1,1207979.3,883226.4,770218.0,,
2491,세종시,전체,합계,연간 주행거리[천㎞],천㎞,2399776.3,2283352.6,2084030.9,1811727.9,1563413.1,1207979.3,883226.4,770218.0,,
2521,경기도,전체,합계,연간 주행거리[천㎞],천㎞,82227636.7,80885304.1,79817880.3,77360123.4,74795569.2,70426594.9,68588710.2,65551533.5,65760166.6,
2551,수원시,전체,합계,연간 주행거리[천㎞],천㎞,6815256.6,6766605.5,6874338.8,6671683.3,6495439.0,6225756.7,6081582.1,5728131.6,5839311.4,
2581,성남시,전체,합계,연간 주행거리[천㎞],천㎞,4491463.0,4511371.8,4591034.6,4624474.1,4547132.8,4361617.6,4299833.2,4260938.3,4378983.9,
2611,의정부시,전체,합계,연간 주행거리[천㎞],천㎞,2204833.3,2171367.8,2116704.7,2065736.5,1965110.2,1878295.1,1836593.3,1767799.7,1815499.9,
2641,안양시,전체,합계,연간 주행거리[천㎞],천㎞,2888256.4,2954549.2,3016717.6,3076747.4,3008949.3,2901722.5,2855138.7,2817432.0,2926466.7,
2671,부천시,전체,합계,연간 주행거리[천㎞],천㎞,3948428.3,4013722.1,4070012.7,4058510.0,3925832.1,3784274.8,3784412.4,3754434.1,3866692.2,
2701,광명시,전체,합계,연간 주행거리[천㎞],천㎞,1396825.1,1428782.9,1479637.2,1462045.5,1479438.2,1428718.2,1455506.5,1428706.3,1468889.9,
2731,평택시,전체,합계,연간 주행거리[천㎞],천㎞,3778456.4,3678801.7,3514791.3,3355576.4,3196157.6,3031165.9,2892722.4,2728081.2,2689614.1,
2761,동두천시,전체,합계,연간 주행거리[천㎞],천㎞,505105.7,499810.7,504823.0,492344.8,471674.7,446240.5,430229.9,418289.7,427556.2,
2791,안산시,전체,합계,연간 주행거리[천㎞],천㎞,4236874.8,4224503.2,4283016.7,4290246.9,4222508.8,4035586.7,4031081.4,3916460.9,3968148.3,
2821,고양시,전체,합계,연간 주행거리[천㎞],천㎞,5608819.5,5561498.2,5572571.0,5468048.5,5356056.6,5064774.3,4938005.3,4772857.8,4816389.6,
2851,과천시,전체,합계,연간 주행거리[천㎞],천㎞,292687.4,280091.4,280215.1,287796.9,318754.4,311282.4,312442.0,302294.9,320617.7,
2881,구리시,전체,합계,연간 주행거리[천㎞],천㎞,983540.7,984615.5,999399.9,962222.5,893783.5,853863.3,846219.1,849611.4,891209.2,
2911,남양주시,전체,합계,연간 주행거리[천㎞],천㎞,4328886.9,4147577.1,4109328.1,3928521.7,3848720.3,3569722.6,3427552.4,3188265.4,3195155.6,
2941,오산시,전체,합계,연간 주행거리[천㎞],천㎞,1495311.9,1427867.5,1414587.0,1332408.5,1273631.6,1176676.4,1170692.6,1092997.2,1077628.9,
2971,시흥시,전체,합계,연간 주행거리[천㎞],천㎞,3441544.5,3311736.4,3140105.0,2917756.8,2778848.9,2646481.4,2571941.3,2475402.5,2499556.2,
3001,군포시,전체,합계,연간 주행거리[천㎞],천㎞,1463810.1,1464012.8,1461637.4,1473378.1,1449407.7,1381976.4,1385229.7,1371329.7,1375375.8,
3031,의왕시,전체,합계,연간 주행거리[천㎞],천㎞,914973.1,888855.1,850811.7,852901.2,851558.4,815581.0,808376.1,770992.7,796696.8,
3061,하남시,전체,합계,연간 주행거리[천㎞],천㎞,1686469.7,1566674.8,1452768.4,1315055.6,1127590.2,982432.3,873739.2,825094.7,826845.7,
3091,용인시,전체,합계,연간 주행거리[천㎞],천㎞,6564603.9,6496598.9,6419877.1,6216486.9,6112306.9,5677418.6,5715687.7,5371470.3,5546017.5,
3121,파주시,전체,합계,연간 주행거리[천㎞],천㎞,3114433.0,3089178.8,3056973.6,2946090.8,2872640.5,2668124.4,2586384.2,2446008.0,2467119.2,
3151,이천시,전체,합계,연간 주행거리[천㎞],천㎞,1710101.8,1688526.2,1655425.5,1636822.6,1580101.7,1478437.3,1437694.8,1380782.8,1336051.0,
3181,안성시,전체,합계,연간 주행거리[천㎞],천㎞,1642898.9,1583094.4,1612022.2,1600422.3,1584301.8,1398747.0,1366020.8,1288685.7,1170858.5,
