,행정구역별,자동차등록용도별,차종별,항목,단위,2020 년,2019 년,2018 년,2017 년,2016 년,2015 년,2014 년,2013 년,2012 년,Unnamed: 14
4981,전주시,전체,합계,연간 주행거리[천㎞],천㎞,4333911.8,4298515.9,4308892.0,4218030.9,4068727.2,3980934.0,3886356.6,3729876.4,4139405.3,
5011,군산시,전체,합계,연간 주행거리[천㎞],천㎞,1884815.9,1898145.2,1964995.8,1921249.6,1885838.9,1785220.3,1734252.7,1656327.1,1690359.2,
5041,익산시,전체,합계,연간 주행거리[천㎞],천㎞,2230538.3,1992145.1,2060855.6,2030799.4,1963784.3,1918125.1,1890395.1,1789348.9,1771247.2,
5071,정읍시,전체,합계,연간 주행거리[천㎞],천㎞,821227.5,819285.9,801866.4,785008.2,759094.9,724230.5,724744.5,681759.6,705111.9,
5101,남원시,전체,합계,연간 주행거리[천㎞],천㎞,687128.9,674749.9,656375.3,599672.0,592887.0,588515.6,601597.2,684660.7,537081.2,
5131,김제시,전체,합계,연간 주행거리[천㎞],천㎞,675039.7,682053.9,682083.8,672959.7,646926.4,648038.1,634463.0,619679.0,602551.0,
5161,완주군,전체,합계,연간 주행거리[천㎞],천㎞,856947.7,849562.6,886660.5,877645.3,842224.7,805783.1,767185.2,699015.0,761924.5,
5191,진안군,전체,합계,연간 주행거리[천㎞],천㎞,206318.7,207614.7,200306.3,193722.4,188663.7,184859.4,179617.3,164254.9,165563.6,
5221,무주군,전체,합계,연간 주행거리[천㎞],천㎞,191027.9,188457.5,192285.3,190314.6,176821.5,174936.1,166782.8,162125.2,159404.9,
5251,장수군,전체,합계,연간 주행거리[천㎞],천㎞,175056.1,175348.7,174337.2,170528.3,163903.5,148868.3,148871.2,136606.2,134248.0,
5281,임실군,전체,합계,연간 주행거리[천㎞],천㎞,216422.0,226389.3,222499.7,222458.1,203294.9,208559.5,190313.3,183145.3,177891.7,
5311,순창군,전체,합계,연간 주행거리[천㎞],천㎞,202285.9,199687.4,204872.4,196332.8,194447.1,186911.4,181732.2,172816.7,164808.5,
5341,고창군,전체,합계,연간 주행거리[천㎞],천㎞,407484.0,403100.2,405401.1,403004.2,388836.9,369191.5,352605.1,341506.2,331364.1,
5371,부안군,전체,합계,연간 주행거리[천㎞],천㎞,375003.8,382595.9,387105.4,383946.5,374677.0,365780.9,359800.8,350709.6,326381.3,
5401,전라남도,전체,합계,연간 주행거리[천㎞],천㎞,15875102.6,15606917.3,15564657.4,15157951.9,14422785.0,13746851.2,12857558.5,11954957.5,11799025.4,
5431,목포시,전체,합계,연간 주행거리[천㎞],천㎞,1338054.5,1343735.1,1356293.9,1361509.1,1367937.8,1367646.0,1293442.7,1233379.6,1293396.4,
5461,여수시,전체,합계,연간 주행거리[천㎞],천㎞,1885522.1,1887473.3,1872489.8,1876332.4,1862233.8,1908394.4,1816069.9,1693169.4,1682573.7,
5491,순천시,전체,합계,연간 주행거리[천㎞],천㎞,1999901.3,1946268.2,1951781.6,1935880.5,1890793.7,1889119.6,1804215.7,1694053.9,1654518.3,
5521,나주시,전체,합계,연간 주행거리[천㎞],천㎞,973017.8,976521.3,939664.1,890832.1,840329.1,824244.0,774554.0,681112.1,673926.8,
5551,광양시,전체,합계,연간 주행거리[천㎞],천㎞,1248533.2,1218325.0,1214903.9,1229384.6,1197084.6,1227941.5,1169313.0,1102345.1,1003772.3,
5581,담양군,전체,합계,연간 주행거리[천㎞],천㎞,424486.4,407489.8,427385.8,422293.2,425389.5,439091.1,424170.5,383540.9,388735.3,
5611,곡성군,전체,합계,연간 주행거리[천㎞],천㎞,228529.5,234180.9,232927.1,237846.0,234705.4,231418.1,219940.9,205688.4,191591.2,
5641,구례군,전체,합계,연간 주행거리[천㎞],천㎞,189834.6,193725.3,195329.8,199715.1,193902.0,189735.3,183428.9,171982.9,169450.3,
5671,고흥군,전체,합계,연간 주행거리[천㎞],천㎞,439477.8,423393.7,426648.1,418329.0,414943.9,417411.5,406346.8,382517.6,367166.5,
5701,보성군,전체,합계,연간 주행거리[천㎞],천㎞,1503050.3,1891292.4,2062517.0,1462295.2,529513.9,321037.2,295157.9,284081.2,270223.4,
5731,화순군,전체,합계,연간 주행거리[천㎞],천㎞,587103.7,606822.5,614194.2,604073.4,606701.3,642750.6,616388.2,523711.5,509524.0,
5761,장흥군,전체,합계,연간 주행거리[천㎞],천㎞,285777.7,281571.9,281749.9,284231.5,271359.2,279665.4,268580.6,256057.2,249469.3,
5791,강진군,전체,합계,연간 주행거리[천㎞],천㎞,302183.1,295322.8,297841.3,303700.0,297545.3,304586.6,292673.2,282296.6,272043.8,
5821,해남군,전체,합계,연간 주행거리[천㎞],천㎞,540598.1,527373.4,527287.4,521808.1,513577.5,513424.2,494742.2,469575.7,468038.2,
5851,영암군,전체,합계,연간 주행거리[천㎞],천㎞,830149.2,950871.9,767678.7,1054550.8,1484902.3,898478.6,584690.4,501306.6,505233.8,
5881,무안군,전체,합계,연간 주행거리[천㎞],천㎞,611613.2,603752.2,583274.2,582901.5,567601.4,553337.7,528986.3,491194.7,490684.1,
5911,함평군,전체,합계,연간 주행거리[천㎞],천㎞,552713.5,264073.7,253731.9,248650.4,241829.0,242922.1,249114.3,235393.7,228406.6,
5941,영광군,전체,합계,연간 주행거리[천㎞],천㎞,389544.9,386114.5,379390.7,375435.8,365195.3,367722.4,354797.6,335358.0,330657.9,
5971,장성군,전체,합계,연간 주행거리[천㎞],천㎞,407110.6,397806.3,389842.4,389730.0,376526.5,383762.8,367391.2,354734.9,362740.4,
6001,완도군,전체,합계,연간 주행거리[천㎞],천㎞,325273.8,304359.1,320288.5,300021.8,299213.5,299197.8,290209.1,271092.5,279676.8,
6031,진도군,전체,합계,연간 주행거리[천㎞],천㎞,214101.4,202490.9,211655.6,201670.7,198654.4,195609.1,190562.9,183483.9,181172.1,
6061,신안군,전체,합계,연간 주행거리[천㎞],천㎞,598525.9,263953.2,257781.4,256760.4,242845.5,249355.3,232782.4,218881.2,226024.3,
6091,경상북도,전체,합계,연간 주행거리[천㎞],천㎞,20143646.5,19934965.2,19751462.8,19389139.3,18991684.2,18034052.6,17537060.0,16832125.4,16922145.1,
6121,포항시,전체,합계,연간 주행거리[천㎞],천㎞,3577179.2,4017159.9,3614932.6,3571615.3,3518325.7,3352054.0,3251791.5,3212705.7,3480908.5,
6151,경주시,전체,합계,연간 주행거리[천㎞],천㎞,1948437.0,1939219.4,1956719.0,1935867.8,1898105.9,1779114.7,1741053.2,1663633.9,1691886.5,
6181,김천시,전체,합계,연간 주행거리[천㎞],천㎞,1007173.5,991166.9,998382.0,977230.6,945448.1,902009.8,857786.0,806208.2,749729.8,
6211,안동시,전체,합계,연간 주행거리[천㎞],천㎞,1174520.6,1136849.2,1167419.6,1157238.0,1138964.1,1095366.1,1075533.7,1038445.3,1046711.8,
6241,구미시,전체,합계,연간 주행거리[천㎞],천㎞,2888996.8,2856014.5,2930454.3,2847270.7,2810993.3,2665868.6,2643634.2,2537903.6,2466069.2,
6271,영주시,전체,합계,연간 주행거리[천㎞],천㎞,712937.0,730048.6,737388.4,743471.8,724029.2,705436.3,698578.2,678682.7,663659.7,
6301,영천시,전체,합계,연간 주행거리[천㎞],천㎞,881471.9,859897.8,875182.1,850314.5,841736.9,787018.1,757063.3,732710.1,754416.3,
6331,상주시,전체,합계,연간 주행거리[천㎞],천㎞,766403.9,754878.5,770144.8,761717.4,742919.1,699943.6,679479.6,652773.8,642006.1,
6361,문경시,전체,합계,연간 주행거리[천㎞],천㎞,488735.5,489231.4,484406.0,490952.9,474897.4,452088.6,438179.3,427531.1,413473.6,
6391,경산시,전체,합계,연간 주행거리[천㎞],천㎞,1892379.4,1880798.2,1872537.0,1848726.8,1791525.8,1712450.5,1633371.0,1539233.9,1577275.2,
6421,군위군,전체,합계,연간 주행거리[천㎞],천㎞,216253.6,214430.6,210581.3,212408.3,200119.3,195050.8,181244.7,170601.7,170104.9,
6451,의성군,전체,합계,연간 주행거리[천㎞],천㎞,441516.0,424782.6,431591.1,422810.3,415232.9,400056.6,389213.1,374360.0,357240.0,
6481,청송군,전체,합계,연간 주행거리[천㎞],천㎞,207022.6,207997.8,205195.5,200263.4,193118.4,188105.2,184880.5,174939.5,167503.2,
6511,영양군,전체,합계,연간 주행거리[천㎞],천㎞,123750.3,121778.3,124000.8,121892.7,115085.2,114829.3,106598.6,105247.3,98257.2,
6541,영덕군,전체,합계,연간 주행거리[천㎞],천㎞,251574.7,244872.1,257377.9,246900.8,249565.1,231105.2,233208.3,220604.4,214494.2,
6571,청도군,전체,합계,연간 주행거리[천㎞],천㎞,334486.5,326994.8,332408.3,320013.2,311246.6,297499.4,286239.0,273841.8,272031.1,
6601,고령군,전체,합계,연간 주행거리[천㎞],천㎞,299322.2,291524.4,304064.0,301890.0,294718.1,284357.7,279511.5,259297.2,262829.3,
6631,성주군,전체,합계,연간 주행거리[천㎞],천㎞,897110.9,436903.6,448779.6,434472.8,433749.3,404708.0,391406.4,369085.6,354386.2,
6661,칠곡군,전체,합계,연간 주행거리[천㎞],천㎞,996261.0,1000667.3,1018519.6,1008162.3,980173.5,912118.0,879459.9,807981.3,792599.3,
6691,예천군,전체,합계,연간 주행거리[천㎞],천㎞,412743.3,387831.0,369250.6,318642.2,301572.4,281561.9,271194.9,258631.2,242653.3,
6721,봉화군,전체,합계,연간 주행거리[천㎞],천㎞,238671.9,236370.5,236740.9,228061.9,226775.8,213272.4,206319.1,195976.5,186576.8,
6751,울진군,전체,합계,연간 주행거리[천㎞],천㎞,340549.5,334987.8,352740.2,339862.0,338602.5,314033.9,309096.3,290047.8,272292.9,
6781,울릉군,전체,합계,연간 주행거리[천㎞],천㎞,46148.9,50560.1,52647.2,49353.5,44779.6,46004.0,42217.4,41682.8,45040.0,
6811,경상남도,전체,합계,연간 주행거리[천㎞],천㎞,24471061.2,23804891.8,23988205.7,23861486.2,23362812.2,22575592.4,22178240.7,21768549.9,22581629.4,
6841,창원시,전체,합계,연간 주행거리[천㎞],천㎞,7474876.3,7633544.4,7750728.2,7635089.0,7247236.5,7120715.0,7155996.4,7390994.8,7892479.4,
6871,진주시,전체,합계,연간 주행거리[천㎞],천㎞,2482932.2,2404880.7,2407440.9,2432340.7,2376702.2,2301622.4,2224102.0,2147989.7,2253803.6,
6901,통영시,전체,합계,연간 주행거리[천㎞],천㎞,711150.3,705664.2,708737.0,705035.4,713631.4,720479.0,679945.2,663987.2,629327.7,
6931,사천시,전체,합계,연간 주행거리[천㎞],천㎞,780908.1,760144.8,766074.0,777009.6,765205.6,752397.5,751333.8,738881.4,701420.9,
6961,김해시,전체,합계,연간 주행거리[천㎞],천㎞,3917286.8,3689636.6,3727040.3,3685486.9,3683340.3,3548921.4,3547275.2,3410954.1,3770955.8,
6991,밀양시,전체,합계,연간 주행거리[천㎞],천㎞,952553.5,869282.6,893750.1,914539.7,928925.8,904686.4,890455.1,849463.1,847402.7,
7021,거제시,전체,합계,연간 주행거리[천㎞],천㎞,1371616.9,1382379.8,1378911.1,1378660.8,1341220.3,1322314.7,1235701.9,1197249.3,1213402.5,
7051,양산시,전체,합계,연간 주행거리[천㎞],천㎞,2788029.5,2544572.6,2522951.1,2403398.5,2295729.1,2160784.7,2065185.6,1912833.5,1968141.8,
7081,의령군,전체,합계,연간 주행거리[천㎞],천㎞,226461.3,214623.2,216018.6,224821.0,220348.8,224353.5,223395.6,217844.4,211576.0,
7111,함안군,전체,합계,연간 주행거리[천㎞],천㎞,949724.0,833042.0,811617.1,890262.5,978535.5,798724.9,688732.1,641032.6,564318.5,
7141,창녕군,전체,합계,연간 주행거리[천㎞],천㎞,488144.4,481021.8,492265.8,489106.9,476920.4,464679.9,442324.0,438411.6,425428.2,
7171,고성군,전체,합계,연간 주행거리[천㎞],천㎞,369118.1,370222.7,379903.1,377383.4,377754.9,366916.3,363250.6,349077.7,335823.6,
7201,남해군,전체,합계,연간 주행거리[천㎞],천㎞,276377.3,271802.1,268380.7,269994.9,271690.4,260106.6,264167.3,257175.3,248277.2,
7231,하동군,전체,합계,연간 주행거리[천㎞],천㎞,330764.9,334505.9,343309.9,345885.2,337610.9,334725.2,323900.6,317415.4,304410.7,
7261,산청군,전체,합계,연간 주행거리[천㎞],천㎞,315375.3,299834.0,305048.6,301198.3,296408.7,292244.3,283980.0,273526.2,267666.1,
7291,함양군,전체,합계,연간 주행거리[천㎞],천㎞,266758.3,262795.2,267027.5,268421.5,297567.2,267381.1,320976.7,265018.7,228295.0,
7321,거창군,전체,합계,연간 주행거리[천㎞],천㎞,438070.3,427859.3,423300.2,424053.4,416018.3,396815.2,387909.3,371822.0,399445.1,
7351,합천군,전체,합계,연간 주행거리[천㎞],천㎞,330913.6,319079.8,325701.4,338798.5,337965.8,337724.3,329609.4,324872.9,319454.6,
7381,제주특별자치도,전체,합계,연간 주행거리[천㎞],천㎞,9536870.7,9069125.7,8532534.4,7713095.5,7276853.5,6508808.6,5669429.0,4632025.8,4109468.5,
7411,제주시,전체,합계,연간 주행거리[천㎞],천㎞,8295902.7,7844223.8,7277920.6,6486599.7,6120209.6,5288713.1,4523528.5,3533680.3,3084569.7,
7441,서귀포시,전체,합계,연간 주행거리[천㎞],천㎞,1240968.0,1224901.9,1254613.7,1226495.8,1156643.9,1220095.5,1145900.5,1098345.4,1024898.8,
