Unnamed: 0,지역별(1),지역별(2),2015.2/2,2015.2/2.1,2016.2/2,2016.2/2.1,2017.2/2,2017.2/2.1,2018.2/2,2018.2/2.1,2019.2/2,2019.2/2.1,2020.2/2,2020.2/2.1,2021.1/2,2021.1/2.1
0,지역별(1),지역별(2),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡)
175,전라북도,순창,6,9397,6,9397,6,9397,6,9397,4,2567,4,2567,4,2567
176,전라북도,고창,10,19592,10,19355,9,18601,10,20207,10,20207,10,20207,10,20207
177,전라북도,부안,30,73622,29,67623,31,72680,32,74211,36,92330,36,92330,37,93460
178,전라남도,소계,1337,6225984,1377,6319497,1430,6138715,1466,6252859,1544,6382912,1587,6485631,1617,6539741
179,전라남도,목포,115,205746,119,222061,125,228487,127,268221,130,273622,134,283636,134,282978
180,전라남도,여수,209,2120242,214,2125590,222,2135561,234,2185221,243,2209859,256,2224476,265,2252924
181,전라남도,순천,220,485337,232,536498,242,561562,250,576118,271,618319,280,626066,289,604405
182,전라남도,나주,62,641692,61,647671,71,675830,78,685214,93,700358,107,706768,115,719130
183,전라남도,광양,238,908605,240,865500,244,581641,249,585269,261,614429,267,639821,266,648948
184,전라남도,담양,37,192867,38,193422,42,216566,42,213991,43,215084,44,219331,44,219331
185,전라남도,곡성,9,66987,9,66987,9,66987,9,66987,9,64362,8,58752,8,58752
186,전라남도,구례,4,2485,4,2485,4,2485,4,2485,4,2485,3,685,3,685
187,전라남도,고흥,23,38720,25,40887,23,38375,24,42123,25,43181,26,40424,27,40424
188,전라남도,보성,19,37409,20,37585,24,39203,24,39203,25,40669,28,46555,29,67435
189,전라남도,화순,30,57592,34,60699,35,60749,35,60749,38,64458,28,45742,28,45742
190,전라남도,장흥,20,70731,22,71444,22,77376,23,77566,25,82382,26,82862,26,82862
191,전라남도,강진,43,164184,43,164184,45,165198,44,156951,38,153757,40,162466,41,162747
192,전라남도,해남,27,74623,26,74593,29,79743,28,107402,28,114760,29,124735,29,124735
193,전라남도,영암,50,167007,50,167007,52,172491,49,159043,52,183072,55,195775,56,197415
194,전라남도,무안,10,5583,10,5583,11,5551,13,7139,12,8818,9,8818,9,8818
195,전라남도,함평,41,130253,40,137785,39,130410,38,126061,36,119124,26,92651,25,89562
196,전라남도,영광,55,210218,55,217224,55,217224,57,215895,60,227492,62,231686,62,231686
197,전라남도,장성,100,583794,109,618892,109,616141,111,610086,124,580269,123,612158,123,613079
198,전라남도,완도,18,25612,18,25612,17,24693,17,24693,18,26607,28,44435,30,50294
199,전라남도,진도,5,21573,6,23063,7,25697,7,25697,6,23063,6,23063,6,23063
200,전라남도,신안,2,14726,2,14726,3,16745,3,16745,3,16745,2,14726,2,14726
201,경상북도,소계,2749,15150902,2865,15511103,2983,16058139,3081,15593760,3258,17799346,3266,16779387,3331,16926029
202,경상북도,포항,484,1092387,507,1118286,516,1262866,531,1116263,567,1140257,567,1115077,576,1127938
203,경상북도,경주,481,6711772,529,6929755,557,7064639,577,7149085,604,7325864,620,7355466,625,7362542
204,경상북도,김천,72,1466750,73,1438671,75,1440147,82,1468176,97,1503002,109,1497776,111,1485056
205,경상북도,안동,65,161719,72,182985,79,204182,84,207444,86,1315217,81,211883,82,212097
206,경상북도,구미,348,368501,356,378471,369,382491,378,387863,383,392687,397,409739,404,426312
207,경상북도,영주,64,245748,66,242499,71,271616,73,272772,75,352623,76,351023,77,352296
208,경상북도,영천,230,1188826,232,1258539,238,1312888,238,1303787,245,1322721,259,1338525,267,1346814
209,경상북도,상주,43,142679,42,142074,42,142431,44,147698,49,156704,51,165646,54,167237
210,경상북도,문경,48,473161,50,473889,53,481842,54,362287,55,367920,54,358916,54,364492
211,경상북도,경산,475,2071038,488,2074564,523,2202104,557,1875107,611,2568554,649,2703499,668,2775820
212,경상북도,군위,2,7824,2,7824,2,7824,2,7824,2,7824,2,7824,2,7824
213,경상북도,의성,20,141690,20,141575,21,145195,21,145195,20,141672,21,177143,24,194782
214,경상북도,청송,2,2288,3,2657,3,2657,3,2657,3,2657,2,1995,2,1995
215,경상북도,영양,6,13533,6,13533,6,13533,6,13533,6,13533,6,13533,6,13533
216,경상북도,영덕,22,53807,22,53409,22,56274,22,52642,22,52642,19,49954,19,49954
217,경상북도,청도,19,53985,17,39920,18,52432,19,52617,20,53122,20,53122,20,53122
218,경상북도,고령,41,52491,40,58353,42,59610,44,60302,48,72255,49,74175,50,75282
219,경상북도,성주,7,25177,7,25177,7,25177,8,29057,8,29057,9,30332,8,29256
220,경상북도,칠곡,251,713254,263,763816,269,765118,267,770075,287,822391,210,716186,217,737906
221,경상북도,예천,14,33631,14,33631,12,28274,10,22949,12,23324,11,16295,10,10602
222,경상북도,봉화,2,11367,2,11367,2,11367,3,11678,3,11678,2,11367,3,11450
223,경상북도,울진,49,111056,50,111890,51,112349,53,121627,51,112831,48,109102,48,108912
224,경상북도,울릉,4,8218,4,8218,5,13123,5,13123,4,10809,4,10809,4,10809
225,경상남도,소계,5855,14249130,5996,14499347,6166,14629071,6258,14615163,6469,14890473,6372,14636628,6343,14820927
226,경상남도,창원,1173,2010226,1209,2065193,1255,2113783,1297,2158852,1360,2239987,1311,2216124,1255,2192988
227,경상남도,진주,203,109967,205,108882,202,113478,237,109774,262,138209,251,126272,263,135172
228,경상남도,통영,68,258434,70,257843,62,241945,62,221676,64,216543,66,99169,66,99169
229,경상남도,사천,110,310948,110,315952,116,343306,117,338694,119,339339,123,341795,124,349754
230,경상남도,김해,2431,4945377,2449,4940998,2482,4877841,2476,4866681,2516,4919971,2565,4967488,2556,4987852
231,경상남도,밀양,58,227437,62,241365,69,255624,56,234059,62,253639,57,239074,58,232087
232,경상남도,거제,20,167052,20,155716,20,155716,20,154854,22,162216,27,164912,29,263576
233,경상남도,양산,1533,5180797,1608,5321784,1685,5413055,1721,5422710,1795,5497886,1701,5362169,1722,5436620
234,경상남도,의령,29,293265,29,310543,31,300866,31,300866,31,294332,29,300570,28,295925
235,경상남도,함안,93,189407,97,203936,99,209399,98,209399,96,211603,105,223444,106,231969
236,경상남도,창녕,60,292327,63,319820,67,337936,66,332984,65,346269,61,329293,59,326255
237,경상남도,고성,13,45840,12,42794,12,42794,12,42794,12,46222,12,39576,11,39424
238,경상남도,남해,10,23583,8,19505,8,19505,9,19601,7,16586,8,17567,8,16676
239,경상남도,하동,3,5055,3,5055,4,5055,5,5055,5,5055,5,5055,5,5055
240,경상남도,산청,6,42240,6,42240,7,43626,7,43626,7,45393,9,47909,9,47909
241,경상남도,함양,14,40668,14,41214,14,41214,11,37897,11,37738,11,37738,11,37738
242,경상남도,거창,23,91972,23,91972,24,94510,25,98470,26,100067,22,99727,21,94992
243,경상남도,합천,8,14535,8,14535,9,19418,8,17171,9,19418,9,18745,12,27766
244,제주특별자치도,소계,300,566184,306,567216,302,540886,311,560488,308,558600,312,568644,315,563582
245,제주특별자치도,제주,239,408261,244,406840,241,383518,248,402794,248,406635,255,423303,259,433765
246,제주특별자치도,서귀포,61,157923,62,160376,61,157368,63,157694,60,151965,57,145340,56,129817
