TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C2_OBJ_NM,DT,C2,PRD_SE,C1,C1_NM,C2_NM
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,m³,106,m³,시도,항목별,142915,13102128649T13103ME_022917H.0606,A,13102128649A.15106ME_022917.0511,충북,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,톤,106,tonnage,시도,항목별,142272,13102128649T13103ME_022917H.060601,A,13102128649A.15106ME_022917.0511,충북,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,m³,106,m³,시도,항목별,125104,13102128649T13103ME_022917H.0606,A,13102128649A.15106ME_022917.0512,충남,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,톤,106,tonnage,시도,항목별,101567,13102128649T13103ME_022917H.060601,A,13102128649A.15106ME_022917.0512,충남,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,m³,106,m³,시도,항목별,254429,13102128649T13103ME_022917H.0606,A,13102128649A.15106ME_022917.0513,전북,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,톤,106,tonnage,시도,항목별,211412,13102128649T13103ME_022917H.060601,A,13102128649A.15106ME_022917.0513,전북,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,m³,106,m³,시도,항목별,414824,13102128649T13103ME_022917H.0606,A,13102128649A.15106ME_022917.0514,전남,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,톤,106,tonnage,시도,항목별,306569,13102128649T13103ME_022917H.060601,A,13102128649A.15106ME_022917.0514,전남,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,m³,106,m³,시도,항목별,409459,13102128649T13103ME_022917H.0606,A,13102128649A.15106ME_022917.0515,경북,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,톤,106,tonnage,시도,항목별,292295,13102128649T13103ME_022917H.060601,A,13102128649A.15106ME_022917.0515,경북,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,m³,106,m³,시도,항목별,478980,13102128649T13103ME_022917H.0606,A,13102128649A.15106ME_022917.0516,경남,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,톤,106,tonnage,시도,항목별,415046,13102128649T13103ME_022917H.060601,A,13102128649A.15106ME_022917.0516,경남,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,m³,106,m³,시도,항목별,236612,13102128649T13103ME_022917H.0606,A,13102128649A.15106ME_022917.0517,제주,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,톤,106,tonnage,시도,항목별,207424,13102128649T13103ME_022917H.060601,A,13102128649A.15106ME_022917.0517,제주,매립량
