TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,DT,PRD_SE,C2,C1,C1_NM,C2_NM,C1_NM_ENG,C2_NM_ENG
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,367678,A,15315DSH001,15315HJG001019,영등포구,전체인구(A),Yeongdeungpo-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,395963,A,15315DSH001,15315HJG001020,동작구,전체인구(A),dongjak-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,500094,A,15315DSH001,15315HJG001021,관악구,전체인구(A),Gwanak-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,430826,A,15315DSH001,15315HJG001022,서초구,전체인구(A),Seocho-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,545169,A,15315DSH001,15315HJG001023,강남구,전체인구(A),Gangnam-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,675961,A,15315DSH001,15315HJG001024,송파구,전체인구(A),Songpa-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,436067,A,15315DSH001,15315HJG001025,강동구,전체인구(A),Gangdong-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,3413841,A,15315DSH001,15315HJG002,부산광역시,전체인구(A),Busan,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,41910,A,15315DSH001,15315HJG002001,중구,전체인구(A),Jung-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,108229,A,15315DSH001,15315HJG002002,서구,전체인구(A),Seo-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,88165,A,15315DSH001,15315HJG002003,동구,전체인구(A),dong-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,116711,A,15315DSH001,15315HJG002004,영도구,전체인구(A),Yeongdo-gu,Total Population
