지역,2012,2013,2014,2015,2016,2017,2018,2019,2020
부천시,869944,863720.0,855586.0,848987.0,851380.0,850329.0,843768.0,829996.0,818383.0
광명시,355560,353100.0,348560.0,344978.0,339484.0,332790.0,326841.0,316552.0,298599.0
평택시,434305,442034.0,449555.0,460532.0,470832.0,481530.0,495642.0,513027.0,537307.0
동두천시,97175,97557.0,97595.0,97974.0,98277.0,97071.0,96226.0,94768.0,94353.0
안산시,715108,713666.0,707876.0,697885.0,689859.0,677710.0,660343.0,650918.0,654915.0
고양시,969916,990571.0,1006154.0,1027546.0,1039684.0,1041983.0,1044189.0,1066351.0,1079216.0
과천시,71068,70578.0,70156.0,68946.0,63778.0,57527.0,58142.0,58289.0,63231.0
구리시,192341,189680.0,186820.0,186721.0,193763.0,200042.0,203553.0,199265.0,197454.0
남양주시,599539,618305.0,636256.0,653454.0,662154.0,665321.0,681828.0,701830.0,713321.0
오산시,200291,205460.0,208565.0,206828.0,208656.0,213437.0,220070.0,226379.0,229725.0
시흥시,399485,396765.0,394639.0,398256.0,402888.0,419664.0,448687.0,473682.0,500895.0
군포시,286841,286344.0,288408.0,287519.0,284890.0,281205.0,276916.0,275852.0,273791.0
의왕시,154757,159772.0,158482.0,157740.0,156763.0,155767.0,153932.0,161153.0,163795.0
하남시,146269,145096.0,148896.0,166713.0,211101.0,232487.0,254415.0,272455.0,293452.0
용인시,915959,941477.0,961026.0,975746.0,991126.0,1004081.0,1035126.0,1059609.0,1074176.0
파주시,394201,401718.0,411348.0,423321.0,430781.0,437848.0,451848.0,454040.0,465617.0
이천시,204917,205479.0,205014.0,204935.0,210359.0,213142.0,214206.0,215834.0,218388.0
안성시,181608,182173.0,181896.0,180199.0,182896.0,182786.0,183579.0,183405.0,187012.0
김포시,287432,312305.0,340310.0,349990.0,363443.0,392092.0,423170.0,437221.0,473970.0
화성시,525490,530251.0,540862.0,596525.0,640890.0,691086.0,758722.0,815396.0,855248.0
광주시,275656,286699.0,298858.0,312579.0,327723.0,345947.0,363782.0,372654.0,382054.0
양주시,200310,199143.0,202072.0,205184.0,205513.0,212146.0,216951.0,222314.0,230359.0
포천시,157559,156603.0,155798.0,155192.0,154763.0,152925.0,150676.0,148379.0,147274.0
여주군,109550,,,,,,,,
연천군,45599,45610.0,45363.0,45725.0,45907.0,45431.0,44633.0,43824.0,43516.0
가평군,60794,61017.0,61213.0,62008.0,62448.0,62973.0,62918.0,62415.0,62377.0
