지역,2012,2013,2014,2015,2016,2017,2018,2019
성남시분당구,6989,5842,8340.417635,8340.417635,5555.025635,3485.91,2814.0,2478.0
의정부시,969,1094,4192.7442,4192.7442,1272.13,3976.38,2980.0,2961.0
안양시만안구,1380,1517,1411.855,1411.855,1669.168,4483.69,4031.0,3882.0
안양시동안구,2758,2699,2693.1335,2693.1335,3060.393,3374.61,3026.0,2575.0
부천시원미구,11877,12784,14882.9167,14882.9167,,,,
부천시소사구,392,628,1257.675,1257.675,,,,
부천시오정구,5745,5335,4779.14413,4779.14413,,,,
광명시,4708,4844,5317.215,5317.215,5335.419,5856.47,5368.0,5063.0
평택시,87304,88724,83590.3777670001,83590.3777670001,103069.3861,97411.99,106468.0,127961.0
동두천시,23884,23302,24754.3261643836,24754.3261643836,25743.175,20293.43,15471.0,21534.0
안산시단원구,143300,159008,6768.0662,163983.642562269,153780.0828,150256.95,160811.0,152760.0
안산시상록구,6291,7194,163983.642562269,6768.0662,6146.574,6266.39,5815.0,8197.0
고양시덕양구,3444,3410,3172.26,3172.26,3676.7266666667,3790.02,3751.0,3755.0
고양시일산동구,4598,4047,4258.37205,4258.37205,4077.17205,6378.19,3553.0,3538.0
고양시일산서구,1043,839,735.951,735.951,740.576,881.18,834.0,783.0
과천시,382,357,355.3955,355.3955,251.701,212.04,190.0,302.0
구리시,5126,3661,4467.524,4467.524,2527.424,3623.59,3983.0,4372.0
남양주시,33780,38407,18813.6905666677,18813.6905666677,19982.9908,34145.98,20733.0,25435.0
오산시,28420,27240,24068.534,24068.534,13093.1868,10162.25,2991.0,6681.0
시흥시,56493,56118,50161.3549,50161.3549,42029.2536333333,37151.23,33520.0,40522.0
군포시,10506,9135,9584.91,9584.91,8859.0,11709.9,8174.0,7195.0
의왕시,4687,5834,961.9053,961.9053,1079.9658,1295.0,1063.0,1086.0
하남시,6193,5026,4810.282,4810.282,7924.172,5764.52,8842.0,6523.0
용인시처인구,28955,14880,12258.2151,12258.2151,16850.4408857143,19094.67,13611.0,12855.0
용인시기흥구,55308,54957,50427.5021,50427.5021,49772.6435,54478.07,47994.0,61680.0
용인시수지구,26163,4569,6224.4,6224.4,4756.43,40462.2,39807.0,30855.0
파주시,157884,152296,160512.90915142,160512.90915142,34874.93196,120574.32,136731.0,67038.0
이천시,71493,66580,68331.283,68331.283,61278.5,103639.2,41898.0,115276.0
안성시,15315,14312,17952.2765,17952.2765,17516.58887,21207.7,17233.0,21727.0
김포시,6667,9535,6159.7193,6159.7193,13037.1608333333,12804.41,14206.0,8635.0
화성시,122258,99828,106177.13554,106177.13554,118858.39814,80265.3700000001,111053.0,169550.0
광주시,17156,7394,7787.119,7787.119,12126.477,8903.02,6621.0,6348.0
양주시,59143,58403,55361.11,55361.11,29475.067,45602.38,44675.0,42823.0
포천시,32154,37905,43014.4649999999,43014.4649999999,42896.359,38101.22,43445.0,44745.0
여주군,12321,13121,11477.575,11477.575,,13294.12,,
연천군,15468,15330,2482.44,2482.44,13522.4665616438,13184.51,12720.0,11237.0
가평군,9184,10094,10331.199,10331.199,10482.485,18657.52,1579.0,1599.0
양평군,1122,1554,2001.006,2001.006,2410.846,2757.04,2789.0,2924.0
강원도,131308,129341,183835.8208,183835.8208,218436.06274,185226.48,132293.0,132498.0
춘천시,2587,3359,3060.7018,3060.7018,2934.4798,3114.33,2497.0,4544.0
원주시,6562,6617,8288.263,8288.263,10351.693,10038.73,9055.0,6418.0
강릉시,9242,9214,9282.37,9282.37,25147.1675,18666.94,15957.0,14112.0
동해시,5464,5695,63880.866,63880.866,48118.056,46394.46,5323.0,9349.0
태백시,11193,11645,14222.51,14222.51,20150.22,8707.03,9516.0,8858.0
속초시,1649,1213,1304.77,1304.77,4070.31,4923.36,4822.0,5929.0
삼척시,50088,44549,25100.36,25100.36,59262.93,49735.1,53343.0,46993.0
홍천군,12310,11881,10512.64,10512.64,16598.06,10138.76,9356.0,10980.0
횡성군,3407,4459,6008.24,6008.24,5975.82,4558.03,4694.0,4385.0
영월군,10367,10741,7204.22,7204.22,8295.138,17226.1,8698.0,10791.0
평창군,1774,4221,4219.85,4219.85,1747.45,651.95,496.0,1008.0
정선군,1913,2684,2933.86,2933.86,995.678,1172.61,1337.0,1534.0
