지역,2012,2013,2014,2015,2016,2017,2018,2019,2020
유성구,177251011,177251011.0,177251011.0,177251011.0,177251011.0,177251011.0,177251011.0,177801819.0,177801819.0
대덕구,68419960,68419960.0,68419960.0,68419960.0,68419960.0,68419960.0,68692125.0,69010118.0,69010118.0
울산광역시,1144593000,1144593000.0,1144600987.0,1144600987.0,1144600988.0,1144607509.0,1144600989.0,1144600985.0,1144600985.0
울주군,839614217,839614217.0,839622204.0,839622204.0,839622204.0,839628725.0,839622205.0,839622201.0,839622201.0
경기도,10367504970,10356097311.0,10356874559.0,10365515906.0,10365462012.0,10367523063.0,10381121615.0,10382062491.0,10382017956.0
수원시,121103097,121138690.0,121138690.0,121138690.0,121138690.0,121138690.0,121138690.0,121182030.0,121136868.0
성남시,141820899,141820898.0,141820897.0,141820897.0,141820897.0,141820897.0,141820897.0,141820898.0,141820898.0
의정부시,81598379,81598379.0,81598379.0,81598379.0,81598379.0,81598379.0,81616520.0,81598380.0,81598380.0
안양시,58458263,58458059.0,58458075.0,58458075.0,58457915.0,58480054.0,58480054.0,58480054.0,58480054.0
부천시,53450000,53450000.0,53450000.0,53450000.0,53450000.0,53450000.0,53450000.0,53450000.0,53450001.0
광명시,38506550,38506569.0,38506473.0,38506473.0,38506473.0,38506472.0,38506472.0,38506473.0,38506473.0
평택시,469603611,458386547.0,459019549.0,459032583.0,459007968.0,459924782.0,459969723.0,460257277.0,460268360.0
동두천시,95681000,95681000.0,95681000.0,95681000.0,95681000.0,95681000.0,95680488.0,95681000.0,95681000.0
안산시,230307215,230307215.0,230307259.0,230565412.0,230562076.0,230562077.0,236109475.0,236109473.0,236109474.0
고양시,267311267,267311268.0,267311268.0,266405942.0,266405315.0,266405315.0,266394650.0,266413861.0,266413862.0
과천시,35853000,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0
구리시,33292045,33292067.0,33292067.0,33292067.0,33292067.0,33292067.0,33292067.0,33292067.0,33292067.0
남양주시,458502000,458502000.0,458502000.0,458502000.0,458502001.0,458502000.0,458502001.0,458502001.0,458502001.0
오산시,42757000,42757000.0,42757000.0,42757000.0,42757000.0,42757001.0,42757000.0,42757000.0,42757002.0
시흥시,133974164,133974164.0,133974164.0,133974164.0,133974164.0,135056862.0,135059861.0,135056862.0,135056863.0
군포시,36460654,36460654.0,36460654.0,36362000.0,36362000.0,36362000.0,36460228.0,36460228.0,36460228.0
의왕시,54003117,54003117.0,54003095.0,53991234.0,53991234.0,53991234.0,53991234.0,53990394.0,53991357.0
하남시,93069364,93069364.0,93068525.0,93044654.0,93044654.0,93044652.0,93044652.0,93044652.0,93044654.0
용인시,591523000,591589947.0,591589947.0,593095000.0,593095000.0,593095000.0,593095002.0,593094735.0,593102039.0
파주시,672417643,672133227.0,672253183.0,680182244.0,680162244.0,680202598.0,680202598.0,680202598.0,680202598.0
이천시,461217696,461217696.0,461217696.0,461217696.0,461217696.0,461217696.0,461217696.0,461806503.0,461808644.0
안성시,553461828,553443785.0,553443785.0,553448109.0,553448109.0,553448109.0,553448109.0,553448109.0,553410032.0
김포시,276586238,276586238.0,276586238.0,276586238.0,276586238.0,276586238.0,276586238.0,276586238.0,276586238.0
화성시,777510163,777510163.0,777510163.0,777510163.0,777510163.0,777510163.0,785408183.0,785408205.0,785408205.0
광주시,430964918,430964918.0,430999003.0,430964918.0,430964918.0,430964918.0,430964918.0,430988596.0,431006136.0
양주시,310242192,310242192.0,310243572.0,310241725.0,310242192.0,310242192.0,310242192.0,310242190.0,310241855.0
포천시,826444212,826444212.0,826444212.0,826444212.0,826444212.0,826444212.0,826444212.0,826444212.0,826444212.0
여주군,607701872,,,,,,,,
연천군,695231000,695231000.0,695231000.0,695231000.0,695231000.0,695231000.0,695231000.0,695231000.0,695231000.0
가평군,841446445,841456785.0,841446445.0,841453811.0,841447397.0,841446445.0,841446445.0,841446445.0,841446445.0
양평군,877006138,877006138.0,877006138.0,877006138.0,877006138.0,877006138.0,877006138.0,877006138.0,877006138.0
강원도,16911508563,16911557411.0,16911557384.0,16911029609.0,16909519982.0,16911177040.0,16902173759.0,16862603883.0,16862422251.0
춘천시,1116831528,1116831528.0,1116831528.0,1116411447.0,1116411447.0,1116414242.0,1116414242.0,1116414242.0,1116410031.0
원주시,867639175,867640270.0,867640270.0,867643278.0,867815925.0,867816696.0,867820132.0,868086299.0,867781499.0
강릉시,1046657000,1046657000.0,1046657000.0,1046657000.0,1046657057.0,1046881326.0,1046881326.0,1046881326.0,1046881327.0
동해시,198167320,198167320.0,198167320.0,198167320.0,198167317.0,198167317.0,198166885.0,198166885.0,198166886.0
태백시,303568000,303568000.0,303568000.0,303568000.0,303568000.0,303568000.0,303568000.0,303568000.0,303479336.0
속초시,110874372,110874372.0,110874372.0,110783546.0,110783546.0,110783546.0,110783546.0,110783546.0,110783546.0
삼척시,1190928799,1190979199.0,1190979199.0,1190973097.0,1192521712.0,1192521712.0,1192521712.0,1191731971.0,1191731989.0
홍천군,1817969699,1817964819.0,1817964819.0,1817964450.0,1819840887.0,1819840887.0,1819840887.0,1819840887.0,1819840887.0
횡성군,997719170,997719170.0,997719143.0,997680573.0,997719170.0,997663526.0,997663526.0,997663526.0,997663526.0
영월군,1128575523,1128575523.0,1128575523.0,1128575523.0,1127618097.0,1127618097.0,1127618097.0,1127618097.0,1127618097.0
평창군,1463600127,1463600127.0,1463600127.0,1463600127.0,1463600127.0,1463827887.0,1463827887.0,1463827887.0,1463827887.0
정선군,1220676359,1220672942.0,1220672942.0,1220672942.0,1219720000.0,1219720000.0,1219720000.0,1219720000.0,1219720000.0
철원군,898440855,898440855.0,898440855.0,898440855.0,898440855.0,898440855.0,889434570.0,889434570.0,889434570.0
화천군,909079332,909079732.0,909079732.0,909079732.0,909079732.0,908968094.0,908968094.0,908968094.0,908968094.0
양구군,700861000,700861000.0,700861000.0,700861000.0,700861000.0,700861000.0,700861000.0,661814926.0,661814926.0
인제군,1646223290,1646223290.0,1646223290.0,1646223290.0,1646223290.0,1646251662.0,1646251662.0,1646251662.0,1646251662.0
고성군,664683014,664688264.0,664688264.0,664713429.0,661477820.0,661477820.0,661477820.0,661477820.0,661477820.0
양양군,629014000,629014000.0,629014000.0,629014000.0,629014000.0,630354373.0,630354373.0,630354145.0,630570168.0
충청북도,7403154278,7403031540.0,7404075861.0,7404111993.0,7405423823.0,7406077830.0,7406913031.0,7406574529.0,7406468597.0
청주시,153522000,153522000.0,940304641.0,940304641.0,940300134.0,940324041.0,940300134.0,940462439.0,940462439.0
충주시,983763850,983763850.0,983763850.0,983763850.0,983763850.0,983763850.0,983763850.0,983763850.0,983631929.0
제천시,883024748,883024748.0,883024748.0,883024748.0,883024748.0,883024748.0,883024748.0,883024748.0,883024748.0
