지역,2012,2013,2014,2015,2016,2017,2018,2019,2020
유성구,154968036,154968036.0,154968036.0,154968036.0,154968036.0,154968036.0,154968036.0,152131217.0,152131217.0
대덕구,47966175,47966175.0,47966175.0,47966175.0,47881505.0,47918282.0,49960402.0,49702054.0,49716674.0
울산광역시,517912630,516894965.0,516314824.0,515739580.0,514751496.0,515285813.0,515078500.0,515264441.0,522035487.0
울주군,348146936,348238181.0,347657015.0,347270889.0,346278717.0,345985268.0,345777955.0,345946736.0,352717782.0
경기도,2617993548,2613340929.0,2608324142.0,2610369452.0,2609977121.0,2609046640.0,2609090987.0,2603756858.0,2600686964.0
수원시,68129134,68166227.0,67396530.0,67186125.0,66626119.0,66148388.0,66050954.0,66107672.0,65312494.0
성남시,106338553,106268719.0,106272389.0,105951887.0,105227156.0,105198405.0,105200413.0,104566413.0,103907864.0
의정부시,63694849,63407602.0,63408561.0,63408561.0,62780541.0,62780541.0,63504069.0,63485929.0,63413082.0
안양시,36348555,36348789.0,36348638.0,36345222.0,36341291.0,37890936.0,37890936.0,37890936.0,37890936.0
부천시,22706661,22696634.0,22696936.0,22593612.0,22375677.0,22210416.0,22210417.0,22003763.0,22009438.0
광명시,21544284,21591112.0,21302262.0,27545171.0,27541642.0,27544201.0,27212829.0,26884378.0,26714921.0
평택시,75503843,73882024.0,72193230.0,72193230.0,74453474.0,74139118.0,73986596.0,73832273.0,74036875.0
동두천시,25631387,25631387.0,25631387.0,25535905.0,25465480.0,25465480.0,25465247.0,25439773.0,25439773.0
안산시,107232137,107232137.0,107189154.0,107192868.0,107044159.0,107027267.0,108830262.0,108830262.0,108830262.0
고양시,150542280,150235509.0,150289910.0,149848563.0,149824803.0,149520036.0,149852554.0,149477399.0,149095090.0
과천시,31908099,31908099.0,31820129.0,31814154.0,31726669.0,31726669.0,31115748.0,31110023.0,31110023.0
구리시,25554954,25554954.0,25530767.0,25498717.0,25498717.0,25477336.0,25476370.0,25136777.0,25136777.0
남양주시,204602701,203276672.0,202830060.0,201267644.0,201051220.0,201106097.0,201105484.0,200769262.0,200761403.0
오산시,29256348,29293622.0,28761477.0,28601941.0,28374873.0,28374737.0,28240060.0,28187484.0,27919333.0
시흥시,95232725,95232725.0,95232725.0,95232725.0,99102536.0,99496485.0,99496485.0,98373712.0,98306604.0
군포시,25478613,25284119.0,25284119.0,25447904.0,25447904.0,25447904.0,25270914.0,24911040.0,24911040.0
의왕시,47731258,47731258.0,47565214.0,46767991.0,46208131.0,46191527.0,46191527.0,45818191.0,45819877.0
