지역,2012,2013,2014,2015,2016,2017,2018,2019
안성시,26.9,26.0,26.3,21.7,21.5,23.0,22.7,19.4
안양시,21.9,22.7,21.3,20.5,20.4,16.7,18.6,16.9
오산시,28.0,31.1,27.8,25.3,24.4,23.0,23.5,21.6
용인시,21.0,22.1,20.1,18.6,18.5,18.9,17.8,15.2
의왕시,21.8,22.5,20.9,19.0,20.0,19.2,19.2,15.6
평택시,26.0,24.0,26.2,23.3,24.3,25.1,22.8,20.6
화성시,25.1,22.8,23.6,23.5,23.6,21.7,20.2,21.6
강원도,24.8,24.1,24.1,22.5,21.4,21.0,22.7,19.2
강릉시,23.2,24.7,22.8,19.4,20.5,18.7,19.7,19.7
고성군,22.9,26.2,24.3,22.9,24.0,18.4,21.4,21.3
동해시,21.3,24.0,22.6,20.5,21.1,21.3,22.0,18.2
삼척시,25.2,24.3,23.4,22.5,21.1,19.1,21.4,22.9
속초시,25.7,24.0,26.0,24.9,22.6,21.4,22.7,19.5
양구군,27.4,26.0,24.8,22.6,21.3,22.3,19.1,20.1
양양군,25.7,21.5,25.4,19.5,21.0,20.3,21.7,17.2
영월군,25.7,25.4,23.9,20.5,22.5,20.2,23.3,20.9
원주시,28.5,24.2,25.6,25.2,20.6,22.9,25.3,20.0
인제군,25.2,23.5,27.2,24.3,24.9,23.9,24.3,24.8
정선군,25.3,26.0,25.5,22.2,26.1,24.9,22.1,20.5
철원군,25.4,22.5,23.5,24.6,23.1,21.0,20.7,19.6
춘천시,21.6,22.3,22.2,21.9,20.0,20.1,24.1,15.3
태백시,29.9,27.5,25.9,24.3,25.7,23.8,20.8,24.5
평창군,23.2,24.0,24.1,21.0,20.3,22.3,23.2,19.4
홍천군,25.3,25.2,25.3,22.1,22.5,19.4,22.5,18.3
화천군,26.0,28.8,23.8,25.5,21.5,24.0,18.0,19.4
횡성군,21.0,20.1,25.0,20.4,23.1,19.7,19.8,20.0
충청북도,25.2,24.6,24.1,21.4,21.3,21.8,22.0,20.8
괴산군,26.0,24.5,24.3,22.6,20.0,18.0,19.3,19.5
단양군,24.8,21.2,24.8,22.0,20.0,20.2,22.8,19.6
보은군,24.6,20.7,21.7,19.9,18.7,20.7,18.9,16.8
영동군,21.6,20.7,20.5,20.9,19.5,18.4,17.9,18.4
옥천군,28.7,23.8,19.5,18.7,20.3,19.5,17.8,20.2
음성군,31.7,29.3,27.6,24.9,24.9,26.6,24.3,22.2
제천시,22.8,26.5,25.0,21.7,21.8,24.4,21.5,18.8
증평군,30.5,27.6,26.8,22.6,24.7,24.0,23.1,23.8
진천군,27.7,27.2,27.3,23.9,24.4,25.2,26.6,23.1
청원군,24.3,24.5,,,,,,
충주시,24.1,22.4,24.9,21.5,22.1,21.0,25.1,23.8
청주시,24.7,24.7,23.6,20.8,20.6,21.3,21.4,20.4
충청남도,23.5,22.7,23.2,22.4,21.6,21.1,22.5,20.4
계룡시,19.9,18.4,20.2,14.6,18.2,17.3,17.3,14.6
공주시,22.1,21.3,20.4,19.8,20.9,17.5,21.1,17.0
금산군,24.6,22.0,20.2,17.4,17.5,19.3,19.4,20.4
논산시,22.5,24.0,24.0,22.2,23.9,20.0,20.8,20.7
당진시,25.4,22.0,25.0,25.3,23.3,24.0,20.8,23.0
보령시,22.8,23.8,24.0,21.6,23.1,21.9,21.6,17.3
부여군,19.2,20.2,19.1,19.7,19.7,16.8,18.4,13.2
서산시,24.1,24.3,21.9,20.3,21.5,20.6,24.0,22.2
서천군,20.3,18.6,19.7,19.1,18.2,17.3,19.5,17.0
아산시,23.9,20.9,24.7,22.9,20.4,24.0,22.0,21.7
예산군,20.7,22.3,21.5,21.7,17.0,19.6,16.8,17.0
천안시,25.2,24.8,25.2,25.3,23.0,22.2,26.6,22.6
청양군,20.5,20.3,18.7,20.9,20.5,18.5,18.5,16.6
태안군,22.0,23.7,21.5,21.3,22.8,19.6,19.5,16.7
홍성군,23.5,20.6,21.0,17.9,21.3,17.5,20.1,17.7
전라북도,21.8,21.8,20.8,19.4,20.1,18.7,19.0,17.2
고창군,23.1,20.3,20.2,19.4,18.9,20.6,19.3,14.4
군산시,27.5,23.8,21.2,20.3,21.7,18.9,18.5,22.5
김제시,20.7,22.5,21.4,17.2,22.2,19.1,22.1,16.3
남원시,21.2,19.9,18.8,19.2,18.4,15.8,16.9,21.2
무주군,24.9,21.9,18.4,19.3,17.0,17.4,15.2,15.9
부안군,21.4,20.0,20.6,18.1,18.0,19.2,18.0,19.4
순창군,21.3,18.5,19.3,15.6,18.0,18.7,15.7,18.1
완주군,24.4,24.0,24.0,20.5,21.1,20.0,21.8,18.6
익산시,19.2,20.4,19.4,20.5,22.6,21.8,19.5,13.8
임실군,26.0,23.9,20.4,19.5,16.3,20.2,17.5,14.1
장수군,22.5,20.5,21.4,21.1,19.5,16.1,18.8,17.0
전주시,20.2,21.5,20.9,19.0,18.8,16.8,19.1,15.8
정읍시,20.6,24.0,22.5,19.8,20.3,21.5,18.3,18.9
진안군,20.4,23.5,21.1,18.1,17.7,18.1,17.0,17.2
전라남도,21.8,20.8,20.9,19.2,20.2,18.8,18.8,18.5
강진군,18.1,17.7,18.8,17.8,16.4,15.5,15.2,16.0
고흥군,19.1,19.2,17.4,16.6,12.9,10.8,12.9,12.2
곡성군,21.9,19.8,20.3,15.7,20.9,17.4,16.6,17.4
광양시,22.8,21.8,21.1,18.3,23.3,21.8,19.5,20.8
구례군,19.5,18.9,19.1,17.5,20.4,15.5,16.2,16.6
나주시,21.7,22.9,20.4,17.8,18.9,20.3,18.7,18.2
담양군,21.5,21.0,20.9,17.9,19.3,15.6,16.4,17.6
목포시,23.2,19.4,21.2,20.8,24.6,21.4,20.4,17.8
무안군,22.9,16.4,22.2,20.8,18.4,14.8,18.4,18.7
보성군,20.7,18.9,17.2,17.9,17.1,18.7,14.4,18.8
순천시,19.9,19.4,19.2,18.2,19.6,18.4,19.1,19.0
신안군,18.3,18.8,23.4,19.6,19.1,18.6,18.7,21.6
